t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.253,0.18688628698307996,0.020347735624450233,1.1275702593849246e-17,1.9388883696207015e-5,-5.122526273982221e-7,4,0.0052825017303262944,2.043913883225822,3.1206142334180624
0.501,0.3110304004129135,0.024373883186797615,-1.465841337200402e-16,2.255763538831197e-5,-9.646839046242753e-7,12,0.006819153042275091,2.9092020295443732,3.4393131263067853
0.754,0.2941768268800279,0.028087358453281783,-1.7367639444654248e-13,1.2364041981443406e-5,-1.7973229785745122e-6,12,0.00915342902377164,4.657597015772181,5.956055255942404
1.001,0.23888494828786805,0.02502694021201612,5.882516469920239e-10,6.092300861409043e-6,-2.6587755110660614e-6,8,0.011911749500487607,3.999088324053494,5.800168805402975
1.255,0.20580095155231515,0.019506074423533956,-1.842946684773054e-9,4.817395104890412e-6,-2.903422752492901e-6,8,0.01590381485831893,3.039363178281072,4.895353965532671
1.506,0.18882592038026103,0.014629123272144155,9.67048679654213e-9,5.208869359872706e-6,-2.2905569477656703e-6,8,0.01975350769315749,2.238611996547685,3.9442089636292166
1.754,0.17899751065049588,0.01147592490749585,-2.6186527922673116e-7,6.51323779705607e-6,-1.1849603897469298e-6,8,0.017327704232060388,1.6120000581140257,3.056477573838936
2.001,0.17187793879354435,0.00964712058961464,-1.4345626738511159e-6,8.042921086975555e-6,-4.714132205316623e-7,4,0.05983511994481142,1.1837008608685142,2.3467405718908116
2.255,0.16542883481820955,0.008447406983278892,-3.2393752646984802e-6,9.348172350872387e-6,-4.5019142645327165e-7,4,0.0761401550092056,0.9110246912114437,1.8735658186322282
2.501,0.1594398223621907,0.007569407350047395,-5.003155147313568e-6,1.0743138790971947e-5,-8.525878563509119e-7,4,0.054789473178096085,0.74403453114004,1.5794555710278764
2.75,0.15346423770788642,0.006843769294320342,-7.70102735845029e-6,1.2141592742070207e-5,-1.3677748910996343e-6,4,0.022675279617365242,0.6283437704087484,1.3684115647773227
3.002,0.1476881608364079,0.0062390585966025335,-1.3219073081534392e-5,1.3602781424556077e-5,-1.8014022601429651e-6,4,0.017965618587970463,0.5443468764952202,1.2154767829581363
3.257,0.14224957633674362,0.005726424984801389,-1.8870543119844062e-5,1.5342380307025682e-5,-2.0845580083169572e-6,4,0.052402557926003825,0.47991622871616124,1.0985503505328638
3.507,0.1374106314982196,0.005301539495321455,-2.3115093364085328e-5,1.7146243013999377e-5,-2.2086577150978198e-6,4,0.07672778671752012,0.4301134518294134,1.0156946391505324
3.761,0.132799886504188,0.004931037110274199,-2.7197852005793246e-5,1.8837239323199414e-5,-2.2071758279978847e-6,4,0.09144577390857593,0.3887511574666188,0.9424929288446701
4.003,0.128290833236001,0.004620618786313652,-3.0578243471917396e-5,1.9982124300323038e-5,-2.1166680655504178e-6,4,0.10036805064662337,0.3551869822894913,0.8857191366305661
4.258,0.12290990332174427,0.004332318449568642,-3.2425334218278475e-5,2.0503783684124502e-5,-1.9462125498744546e-6,4,0.10736661352111176,0.3247575800776412,0.8319252388099357
4.502,0.11679837432559124,0.004085831618840824,-3.369638639755777e-5,2.05964975524788e-5,-1.722405495133344e-6,4,0.11148418128820456,0.2992762857227026,0.7875947586527664
4.758,0.10994003900191288,0.00385250552158016,-3.561504178379747e-5,2.057180033101324e-5,-1.4374459345207052e-6,4,0.11398795383485284,0.27568641252952614,0.7418458960287193
5.002,0.10483187672082758,0.0036501875315667976,-3.7396968681844243e-5,2.054472164200699e-5,-1.1286327923541437e-6,4,0.1158163387726829,0.25566517977945646,0.7087286617140346
5.259,0.1032743870461741,0.0034571006514784505,-3.902987860523923e-5,2.060479447000493e-5,-7.766837284774127e-7,4,0.1171041970527769,0.2369026144726319,0.6734698091605488
5.505,0.10553079483512552,0.003288796068320771,-4.053982918473522e-5,2.0818006029972274e-5,-4.217852314648506e-7,4,0.11767184406813029,0.22080090431861402,0.640782182964363
5.751,0.1075586088976477,0.0031342597795757012,-4.197416961667158e-5,2.118983177550894e-5,-5.260172025722132e-8,4,0.11776836892790685,0.20624627830760303,0.6101519392183407
6.009,0.10658771172088644,0.002985435844986897,-4.3279636096424465e-5,2.1762838134567655e-5,3.4459985795284384e-7,4,0.11751980765598662,0.1924722779509936,0.5846758718763418
6.257,0.10100673361736393,0.002854609418092374,-4.427829842923361e-5,2.2513539894125777e-5,7.274028706380791e-7,4,0.11720758302968247,0.18057013884655793,0.5609514612409533
6.504,0.09193361557325347,0.002733722259594864,-4.50295006512438e-5,2.340889618772961e-5,1.1071128662491143e-6,4,0.11653249030017158,0.1697251380903999,0.5380460079693363
6.752,0.0822124996214374,0.0026218822145031547,-4.554462988055571e-5,2.4346640812845374e-5,1.4764075547114798e-6,4,0.11588235853660095,0.15978966045201903,0.5161576086716837
7.0,0.0726564406899292,0.002518396939474074,-4.585207152190849e-5,2.5245556628504255e-5,1.8274707745705944e-6,4,0.11551876575819006,0.15063662114513293,0.49535645682846335
7.261,0.06311620150628397,0.0024183595796407687,-4.5990986432711215e-5,2.6070743843128473e-5,2.169250007757911e-6,4,0.11528489269128557,0.14177234741848527,0.474719575911237
7.51,0.05583499206937468,0.0023303295078208504,-4.5979669272339834e-5,2.6700026052219696e-5,2.471198766230106e-6,4,0.11557181712161832,0.13392346403841693,0.4556308689836315
7.76,0.05268094597072441,0.0022488321211535773,-4.583918778446744e-5,2.7184553511508962e-5,2.759920558935829e-6,4,0.11588702254613766,0.12661395241009638,0.4367351148497056
8.01,0.05406902915588112,0.002172814125194207,-4.5585700161526526e-5,2.759185948328367e-5,3.0565183071971854e-6,4,0.11621593090229118,0.11979053404355078,0.41750081744630363
8.259,0.05758954300041377,0.002101257762926592,-4.5241463858834924e-5,2.8021217668488392e-5,3.3907664237150877e-6,4,0.1155886642534437,0.11344478831310195,0.3982050423716294
8.509,0.06028403851646379,0.002033385383128368,-4.482332504274027e-5,2.854666547108271e-5,3.792910644541913e-6,4,0.11347344526384788,0.10763677418168158,0.37976262995870874
8.757,0.06068353415752387,0.00196807212357958,-4.43464392982008e-5,2.9178308676867894e-5,4.277505029669561e-6,4,0.11096514304576462,0.10243605408274942,0.36362530661316966
9.005,0.05874386535146671,0.0019031916523545391,-4.3820642638250364e-5,2.9830445908541357e-5,4.817210604751323e-6,4,0.10757710898018825,0.09772414536149826,0.34798054765547753
9.253,0.05521965179681811,0.0018374156530724154,-4.325154196586689e-5,3.0334861414957294e-5,5.324052923161574e-6,4,0.10429254680670667,0.0933513754767897,0.334133807103122
9.503,0.05120855949155399,0.0017736726491693353,-4.264294868075387e-5,3.055479968372521e-5,5.680980186815724e-6,4,0.10286699934032936,0.08934017894215865,0.32267148268683127
9.755,0.04768561110801059,0.0017182453665791201,-4.1995205591798706e-5,3.0498533449477376e-5,5.8245450868312995e-6,4,0.08855491844811567,0.08596828223682709,0.31960478463390013
10.011,0.04508900511035545,0.0016755507042500793,-4.13093361166863e-5,3.027993597362684e-5,5.802982893835427e-6,4,0.09991751941959806,0.08340712188557098,0.3241312015823231
10.259,0.043463457050663686,0.0016462819294435303,-4.062193192216874e-5,3.000341511195845e-5,5.751663574206663e-6,4,0.12599436213194776,0.08176807086362575,0.32047698001994296
10.51,0.04279507846890569,0.0016235086975221673,-3.990533662249964e-5,2.9656627075175215e-5,5.79506316577064e-6,4,0.13857802281949988,0.08062652002422918,0.30874603125440675
10.761,0.04349958268400138,0.0016003500047479331,-3.916559052264106e-5,2.9214318316748365e-5,5.995933791513449e-6,4,0.13169302513944098,0.07919549936051193,0.29853961335471424
11.011,0.045240078247061104,0.0015731816162995052,-3.840587755193952e-5,2.8727339133157454e-5,6.311439649803563e-6,4,0.11102726818131581,0.07741530703433763,0.2955153726218445
11.258,0.04594042669910206,0.0015441572333284102,-3.7634952115159594e-5,2.8288455195784722e-5,6.633278733274342e-6,4,0.08985854099687492,0.07589985283276171,0.2986338303185421
