t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.254,0.16439197062655161,0.022367786438478424,6.696303667813597e-17,4.403060459693081e-6,-3.945941048278984e-6,4,0.001088898512761655,2.5064330233931713,2.730735871173135
0.502,0.33118167412430577,0.029695634693308236,2.4699480741935398e-17,7.926634373178675e-6,-7.257196194796146e-6,4,0.006803457969238066,4.07843483439196,4.800911207317446
0.751,0.3080278906618987,0.039231603374737384,-8.62385571889215e-14,1.0741849903333184e-5,-8.456848363996539e-6,8,0.0022769297180262322,7.5635567670109465,10.016002562156883
1.003,0.2575370566358256,0.03466562561086286,-2.5229444098459814e-11,1.266825923856125e-5,-8.005277894925203e-6,8,0.0036757280989331478,7.365102285397661,8.804738805900802
1.256,0.22971699860556805,0.025209668121130603,2.7865842538716927e-9,1.222220738382072e-5,-7.088472153984687e-6,8,0.004920487431634741,6.035178492054708,6.046520395868965
1.505,0.218388952014886,0.01893296084859916,-3.0372418931690607e-7,1.1859362535596906e-5,-6.968825685785588e-6,8,0.003889201740809509,4.040130850127274,3.7813569254608965
1.755,0.2156378748657597,0.015622735339925817,-1.695109898182241e-6,1.240874900372942e-5,-7.736587065827548e-6,12,0.004691732541770012,2.788771652095543,2.749496615838955
2.003,0.21249995427424262,0.01377823434182087,-3.6214255899401017e-6,1.3824645756143262e-5,-8.705706411460696e-6,12,0.005508755093530907,2.104183054031818,2.1451675684593865
2.254,0.20118498682793493,0.01247296864377012,-5.267208234385985e-6,1.574101228464154e-5,-9.301608416730885e-6,12,0.006418081392617625,1.6831680899148294,1.7490806008981763
2.502,0.18993338971502607,0.011462145382733897,-7.567692911709637e-6,1.790620688326579e-5,-9.507661766310288e-6,8,0.008355317112196767,1.4089389780858346,1.5109438801425548
2.754,0.17937118486467743,0.010661659775846145,-1.1583465734205898e-5,2.0442264268166847e-5,-9.495141148103215e-6,12,0.006809318270399477,1.2302276393173477,1.340196234582888
3.007,0.1697033439252395,0.009964549211522978,-1.51555704770276e-5,2.263591766008537e-5,-9.531178965701066e-6,12,0.006028558466509797,1.1335233327216208,1.3386311136354565
3.252,0.16081722940808207,0.009104207239342601,-1.782747969773174e-5,2.3488973081624958e-5,-9.7096933614696e-6,12,0.0056402068271958075,0.9891191631308951,1.2392945227854921
3.509,0.15296350847787907,0.008175496922675338,-2.216497102316586e-5,2.3888726432333976e-5,-9.883612178921601e-6,12,0.005444639724602206,0.8502945852694728,1.1641243551956146
3.751,0.14850154158084725,0.007427321431418643,-2.3899483711502215e-5,2.4758128793151524e-5,-9.961451369516968e-6,4,0.006632855655224049,0.7658996188485157,1.0778999093694945
4.007,0.14650191488848788,0.006833273363781921,-2.445235714896851e-5,2.6008814281392052e-5,-9.87285500685444e-6,4,0.008624880835359798,0.7166643750094014,1.0272126211405823
4.256,0.14254330750217487,0.006442511526830518,-2.579331184757762e-5,2.690438321763776e-5,-9.626511024984363e-6,4,0.010350744817603444,0.6709365756765636,0.9299148932079982
4.51,0.1340377253251015,0.0060541754208672475,-2.7405405232320633e-5,2.74699007482985e-5,-9.31701014254009e-6,4,0.012385978249670436,0.6055575409098365,0.843498621322717
4.757,0.12161033667813528,0.0056775322675000905,-2.8718039139938315e-5,2.8199131491262e-5,-9.021507262325496e-6,4,0.014066080339236583,0.5463465507581617,0.7858284750639326
5.006,0.10688065305148733,0.005333809585918398,-2.986601840759591e-5,2.9283249031543434e-5,-8.735094769060934e-6,4,0.015419279628071006,0.4974534716997654,0.7351243559490839
5.255,0.0958973228978757,0.005025508969712326,-3.091749929745123e-5,3.0454123994431435e-5,-8.44815270837277e-6,4,0.016711700358386056,0.45528095367356664,0.6916673398134356
5.5,0.09519214896882391,0.004748900582534027,-3.186642028213132e-5,3.1500194712635785e-5,-8.161455694601372e-6,4,0.01779117512258469,0.4182877400757177,0.6527706477514426
5.759,0.10555794217345717,0.004480814590792603,-3.277162483805443e-5,3.245755295091325e-5,-7.853621532467131e-6,4,0.018871831315236055,0.38325016205956075,0.6172073577229894
6.004,0.11359146928049786,0.004251637292386408,-3.3578224455558404e-5,3.321568947849054e-5,-7.556669293986761e-6,4,0.01980118230120629,0.3540116817945622,0.5850264742417073
6.253,0.1079569818059622,0.004043703423227563,-3.4283372505034194e-5,3.392779166305339e-5,-7.250924977692701e-6,4,0.020516467954408143,0.32817185554241357,0.5571822829415138
6.506,0.09636332034414276,0.003854650660412457,-3.4918133841429124e-5,3.472959315660424e-5,-6.936869018030291e-6,4,0.021064345700843704,0.30525320323933536,0.5272008031795055
6.752,0.08570101582834595,0.0036897181109462295,-3.5711625632623586e-5,3.5620500907922347e-5,-6.629725343982879e-6,4,0.021543516838148175,0.28561634045912265,0.5037796865201771
7.002,0.07782994802848946,0.0035412063917450378,-3.650161443363649e-5,3.6538254067976044e-5,-6.325236126169564e-6,4,0.02192062077642833,0.26883150357860003,0.4818535820644079
7.256,0.0706671395039586,0.003400676763123683,-3.729395565979215e-5,3.735576792024186e-5,-6.031409909038547e-6,4,0.022239970009603517,0.2550590166003068,0.4594552705354206
7.504,0.06241069949604868,0.003253808508232367,-3.801747189405041e-5,3.799930227441948e-5,-5.748614957971221e-6,4,0.022503609997795708,0.24145961690868908,0.43938641101308573
7.756,0.05642579073315298,0.0030920126988570372,-3.868960408525707e-5,3.8413082097425876e-5,-5.432888070169925e-6,4,0.023071001562987522,0.22574389382656498,0.42757227465120423
8.01,0.05704249199990803,0.0029280276448435867,-3.9314780130255775e-5,3.854256343095155e-5,-5.072858103607004e-6,4,0.02490477068910321,0.20974659122060896,0.4173999837362057
8.251,0.061848235845835944,0.00278301930445655,-3.986803768965964e-5,3.856609125808655e-5,-4.710372213385483e-6,4,0.02872736985254135,0.19617311311431007,0.39741973827118654
8.501,0.06552437141005653,0.0026496469431084775,-4.040508277408513e-5,3.878134144612852e-5,-4.3428478441697866e-6,4,0.03548372357586423,0.18449599419703722,0.37742119752540615
8.752,0.06490452995245204,0.002534709271934956,-4.0892195088108876e-5,3.934053156427739e-5,-4.015095439036952e-6,4,0.04428733534336143,0.17369807510885038,0.35512005445128136
9.005,0.06222151762811867,0.0024292676403286405,-4.133340001854745e-5,4.0155003070523745e-5,-3.749610018149206e-6,4,0.05317511471780612,0.162678379873057,0.33441315233433494
9.257,0.060014793434256745,0.0023288346889611404,-4.174300319425486e-5,4.105431332901497e-5,-3.561309057598034e-6,4,0.05964308669582201,0.15207256417972825,0.31476617546611646
9.507,0.058329979811503216,0.0022343167407437945,-4.2145483255159214e-5,4.1946841701872515e-5,-3.4509342922204756e-6,4,0.061657768079486204,0.14338084018085173,0.2976501652680531
9.758,0.05631509533298119,0.002142684506222865,-4.2558542971137e-5,4.2831109991799215e-5,-3.3811194815568364e-6,4,0.05517503286593543,0.1367848837490962,0.28263050122675765
10.01,0.0535376265412477,0.0020547739378984097,-4.295906285848436e-5,4.3680608132345786e-5,-3.245572248932458e-6,4,0.03456206420733318,0.13175591462553526,0.28989213660841123
10.253,0.049350363937764104,0.0019798831183303472,-4.3313868097556326e-5,4.432678438577299e-5,-2.9405011666396143e-6,8,0.0052403487343985295,0.12796791324576473,0.28707153257450463
10.51,0.04396687781995261,0.0019074260224660798,-4.3641437885506336e-5,4.466637071224301e-5,-2.4437473673120973e-6,4,0.04382693573416628,0.12357179671676115,0.304550389411634
10.752,0.040905804096972705,0.0018414249244646178,-4.3910276155119806e-5,4.456196089211871e-5,-1.9471670546209153e-6,4,0.07161113988315757,0.11780008916474004,0.2935125485572265
11.002,0.04228967082274111,0.0017773691236976554,-4.416600899466701e-5,4.4061398950764755e-5,-1.5012489685917958e-6,4,0.06360895973324253,0.1108895553149102,0.2783538307675572
11.261,0.047613151919194595,0.0017188009684275304,-4.4399185532504805e-5,4.3315593096269126e-5,-1.1000696813967755e-6,8,0.025511784766043703,0.10407913468005346,0.2632486086806381
11.51,0.049745207140303546,0.001674919779994699,-4.4591255698853354e-5,4.265473849362187e-5,-7.136271784151731e-7,4,0.023921698080381932,0.09916220010013461,0.24742711314107643
11.753,0.044313011186725815,0.0016448407907588068,-4.4758249759025453e-5,4.227520038613853e-5,-2.9368595361424713e-7,4,0.05885588849754356,0.09601811740431498,0.23223204673464332
12.01,0.03459914764971471,0.0016160029298764704,-4.490591812269469e-5,4.226817530954165e-5,1.974115006293063e-7,4,0.06863291582713812,0.09292257483963692,0.21704096130632128
12.259,0.02700008329092458,0.0015794963740496917,-4.502408204322686e-5,4.266387650209952e-5,6.70810291435289e-7,4,0.05562207106370579,0.08971945465265851,0.2132887250744211
12.507,0.025860961631058284,0.0015313034153959972,-4.5136860831103316e-5,4.334760826993519e-5,1.0857241934173365e-6,4,0.036659139491023764,0.08637044040294507,0.21068722918324143
12.751,0.030736495244816253,0.001477240867559207,-4.525972136130498e-5,4.4127220923755824e-5,1.3849320848108108e-6,4,0.03241741817547312,0.08335900669273194,0.223400330196664
13.006,0.0365965238072815,0.0014213910759229556,-4.538807877975044e-5,4.489146843089371e-5,1.5745957831241346e-6,4,0.017290910055821607,0.08036707488015811,0.2254466668611076
13.251,0.038438013711819576,0.0013730156905819883,-4.549493374775609e-5,4.5489324912224923e-5,1.6955126287080556e-6,4,0.010332035080317612,0.07708184828752977,0.21537286850629542
13.509,0.03661997669430189,0.0013264352214700204,-4.559190919965456e-5,4.5969080359630564e-5,1.8398315187196965e-6,4,0.01223652768926522,0.07304509517915411,0.20193242364185832
13.756,0.033805614260890744,0.001282691221343319,-4.567167199754739e-5,4.632375371626871e-5,2.0345563868005308e-6,4,0.012425071291638428,0.06885110257404777,0.1903663186287599
14.001,0.03257912834305077,0.0012401476543120555,-4.5727270289526185e-5,4.664343057798363e-5,2.27913174170959e-6,4,0.004087753559048153,0.06492192524901978,0.17881978187664627
14.257,0.03330560440767894,0.0011974553042424989,-4.576161568991741e-5,4.6992504877984025e-5,2.5615109027629136e-6,4,0.029111286614556513,0.06164759499333069,0.17105687249650087
14.5,0.03513416721503242,0.001156964123081265,-4.5780173522521844e-5,4.7319839652173506e-5,2.838784826774042e-6,4,0.038514201591814554,0.05933798453736607,0.16798325296523178
14.756,0.037263347466559175,0.0011143102717935474,-4.5778142764721616e-5,4.7578957164008254e-5,3.133737960796698e-6,4,0.02174587831781545,0.05746479754544283,0.16770700916560005
15.012,0.038153391263491016,0.0010738943783832092,-4.575502054014308e-5,4.7693456197416397e-5,3.4296475226003697e-6,4,0.013019374788749922,0.05576687498031166,0.16572259970702105
15.258,0.03676310434757657,0.0010392234045429505,-4.5726426748160866e-5,4.765994684967489e-5,3.7103317051572055e-6,4,0.04293734775163252,0.05403590695521951,0.16233191397093974
15.508,0.033387874853301726,0.0010091668718315995,-4.570633611009093e-5,4.750688802395086e-5,3.992671820860138e-6,4,0.05666834212914649,0.05211982408940813,0.15716967745599406
15.756,0.029712768660422856,0.0009844314763420116,-4.568690526885514e-5,4.729269437961897e-5,4.2835415334272065e-6,4,0.05739340149758621,0.050137748719582126,0.15052278219508616
16.011,0.027555749780522824,0.0009634734413593762,-4.565943606594626e-5,4.708098159898922e-5,4.6079796779432885e-6,4,0.05031197083090218,0.04813127862507063,0.1434195655515982
16.255,0.02739378741977389,0.0009466010197017621,-4.562916021125981e-5,4.694639836503365e-5,4.938658700921466e-6,4,0.023706857860095958,0.04635123670243447,0.1394314809819403
16.503,0.027394944788439485,0.0009313170645733654,-4.559555678072289e-5,4.6909335973956786e-5,5.2843270724573405e-6,4,0.00891390490431586,0.044790374127560616,0.13833338071848397
16.751,0.02533375614272792,0.0009161432830532716,-4.556742600651013e-5,4.697246308644477e-5,5.63026640580299e-6,4,0.021981557844749103,0.04346187593670984,0.13812143815062064
17.001,0.01997147023110805,0.0008996049220192001,-4.555663549813227e-5,4.7114510087143256e-5,5.965343201710637e-6,4,0.012384339829497283,0.04226430443399337,0.13616508824388146
17.253,0.014307050849317991,0.000881056252693548,-4.556122133263712e-5,4.730476682664259e-5,6.281643201277243e-6,12,0.003882285411735806,0.04110174425949966,0.13257895959067548
17.504,0.012036053395950225,0.0008608285155951071,-4.5576216774596536e-5,4.749244603476035e-5,6.5612531075505295e-6,2,0.00307477186385584,0.039974787899147046,0.12810937200114197
17.754,0.014109582199035915,0.000839096314091479,-4.559406733475228e-5,4.762692029701622e-5,6.794575374169065e-6,2,0.0031604898894056744,0.03890512287602362,0.12403976338226165
18.004,0.018276342359813687,0.0008162579734307028,-4.56096542229933e-5,4.7687510945577846e-5,6.990112067928976e-6,4,0.010651953378883335,0.03784435971988836,0.12244355273102542
18.254,0.021015927040527717,0.0007932922752429378,-4.561758203411678e-5,4.768849218695871e-5,7.1724529806438455e-6,4,0.01928803658052929,0.03671749210462634,0.12206191694405405
18.503,0.021228974059835825,0.0007705252501156731,-4.561707216069557e-5,4.7656863653855754e-5,7.369867366170536e-6,4,0.02201970096056251,0.03545614989214962,0.12002633235170188
18.754,0.020348976008144993,0.0007479251953531481,-4.561017297024333e-5,4.762919430555796e-5,7.5977498647502575e-6,4,0.018673127771328662,0.034091568261522494,0.11707083182909934
19.004,0.01975811099691641,0.0007260584135245871,-4.559455875783985e-5,4.764983457854177e-5,7.852940829218045e-6,4,0.010296911496827845,0.03273063937109455,0.11345636753535086
19.254,0.019623250969553144,0.0007057467742154616,-4.556855168876255e-5,4.7763790049801124e-5,8.122869930154657e-6,2,0.0034080931462148706,0.031447904940250924,0.10971336614784245
19.503,0.01929902877129016,0.0006876352318237356,-4.553723773617928e-5,4.799179816417314e-5,8.393369102790286e-6,2,0.003432457469978471,0.030264593524197726,0.1062012286717251
19.752,0.018587026700902294,0.0006715652127207784,-4.550415916046137e-5,4.832168245862193e-5,8.65397996688388e-6,2,0.003448161902469079,0.029182902888634978,0.10298089045216965
20.001,0.018189080939813834,0.0006566589429154388,-4.5474200194223854e-5,4.8723159753737183e-5,8.895869721400513e-6,4,0.006004138186328206,0.028186272484533786,0.09999563984786143
20.251,0.018473270202399684,0.0006420308789341228,-4.545326683546949e-5,4.915994297776682e-5,9.115669603857042e-6,4,0.006142023369116245,0.027258454837297767,0.09705087111088409
20.502,0.018623521231596076,0.0006275131355652033,-4.543883036889346e-5,4.959155350562867e-5,9.323067764709612e-6,2,0.0033781709861885633,0.02640151381142086,0.09392889092633801
20.753,0.017368788860146,0.000613300343647871,-4.542515176241832e-5,4.998144641923338e-5,9.542683937113354e-6,4,0.013752597390521353,0.025613667323602977,0.09359373590334649
21.006,0.015045920868816313,0.0005995018029705477,-4.540906544095335e-5,5.0292926446805745e-5,9.796144959202312e-6,4,0.02531582715798837,0.024883202929165172,0.09457979601440247
21.25,0.01324026108000878,0.0005868064063952125,-4.5389248492647874e-5,5.0468869004755144e-5,1.0067047091123434e-5,4,0.037206819086377185,0.024210967564293646,0.09281526399458044
21.507,0.012759518459831882,0.0005741340471364031,-4.5362836550758045e-5,5.0476994834378785e-5,1.0356632587098107e-5,4,0.04359475809848417,0.02348556924445188,0.09045203475084361
21.761,0.01356658212724446,0.0005622776303282644,-4.5331970652095725e-5,5.0311329445919e-5,1.0627599050939325e-5,4,0.03921121390671584,0.0227216068819353,0.08860603016500111
22.001,0.014514266784695251,0.0005515412748907481,-4.5301126360392356e-5,5.0062693305985026e-5,1.0869227797166793e-5,4,0.027412010697580008,0.021966968872172147,0.08682951381828061
22.252,0.014286353954222984,0.0005406544187418755,-4.5269657059993975e-5,4.9807781179455764e-5,1.1118404610742374e-5,4,0.012495644186592882,0.0211919471345058,0.08519171583109107
22.504,0.012800407225321987,0.0005299244328131397,-4.5239638072740584e-5,4.966599789339364e-5,1.1373838116785315e-5,8,0.006012892968237463,0.020466011283279538,0.08328204617331211
22.758,0.011601104345938217,0.0005189617075351373,-4.521093328902523e-5,4.9703630045876794e-5,1.1632730203535685e-5,4,0.0090532239702334,0.01978736655099497,0.08101897129155024
23.01,0.011482694437693017,0.0005075209243115298,-4.5184024323579487e-5,4.9938799853968434e-5,1.1880585286896019e-5,4,0.021990380599348106,0.019162930749518317,0.07989764076092139
23.26,0.011740377326246934,0.0004954695722498472,-4.5160953930780756e-5,5.033978380209209e-5,1.2096788036654901e-5,4,0.02941123621671349,0.018591630845679462,0.07848785392152488
23.507,0.011437449101032948,0.00048314615836735243,-4.514267659803721e-5,5.0832674955754547e-5,1.2263758493247065e-5,4,0.033559207870270225,0.018086854373993738,0.07634973389365268
23.751,0.010295864475244165,0.0004710140972048869,-4.5125623763034563e-5,5.133108414381745e-5,1.2386324492635813e-5,4,0.03593947654007072,0.01764710881463427,0.0742363520696996
24.008,0.008590903694332247,0.00045892568916523915,-4.510475632143779e-5,5.1770514314795255e-5,1.2494333064489126e-5,4,0.04355332564304689,0.017217003985092655,0.07311822992409306
