t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp
0.256,1.6037198442570204,0.22218732613667233,4.343133275060287e-5,2.6020489182792847e-5,-1.5266038876170362e-5,8,0.004964981479700247
0.511,0.9378855813804676,0.22602971426902158,-9.219507576838659e-6,7.437834080233308e-5,4.136655844675886e-5,4,0.03049689152103926
0.753,0.7857058506269784,0.1826870374908248,-1.6932565920349167e-5,0.00017488169914501943,0.00011824387437323842,4,0.015537075345826054
1.011,0.7742746904062425,0.14856219088669442,0.0006588555336538397,0.0002437804547747492,0.0001997318084124238,4,0.010801159397512892
1.257,0.7868472189763892,0.135181548120134,0.0014145350454278117,0.0002860125543379771,0.0002623292490538577,4,0.013870846327605777
1.511,0.7674251226265232,0.12294117235593044,0.0022914064708694968,0.0003123910285156348,0.00030054501416638583,8,0.018943373041397437
1.758,0.7308418378304921,0.10990161801012183,0.0031768505498093,0.0003312830937491746,0.0003241860963619223,4,0.021227705616620778
2.015,0.6577843225757036,0.1018037675721524,0.0037687107704536225,0.0003534255164101522,0.00034689050048730626,4,0.01886092407608539
2.254,0.580276371381154,0.09787046147664194,0.003904870743784343,0.00037258662627897486,0.00036449702552987127,4,0.009586103339095651
2.509,0.515462781761023,0.09476833283895603,0.0038788166618978245,0.00038447933183528296,0.00037438755397259024,4,0.028664160696531323
2.762,0.47357505312835174,0.09138004918582296,0.003923894030291981,0.00038553369902198756,0.0003731396727778043,4,0.04531794024705776
3.015,0.4514766516011528,0.08746900790075995,0.004150088408331419,0.0003804422822911334,0.00036375586977259623,4,0.07722131605465743
3.253,0.4350979002829473,0.08368069078713793,0.004375660575897632,0.0003741707605768897,0.0003506289931652527,4,0.06136595449198582
3.501,0.41025650294162624,0.07942947822940896,0.004528070806617378,0.0003679271761841102,0.00033422897332632167,8,0.011459628587722188
3.752,0.3819844741502691,0.07452319398421973,0.004614905392603871,0.00036282435698620235,0.000316425154218835,4,0.0524245751798196
4.009,0.35829365375944416,0.06920943676597892,0.0046781670585024065,0.0003600236875264422,0.000298434579360211,4,0.07012202107888865
4.257,0.3418056310898242,0.06443632783945769,0.004739399814103601,0.0003606888249265145,0.0002822200097327531,4,0.054002444093138584
4.511,0.327922491437724,0.06018963048557558,0.004784471289003125,0.00036418217116151617,0.0002666719484063326,4,0.022609701721305192
4.751,0.31431912409086993,0.05680798626972025,0.004783506848439471,0.0003684269230986546,0.00025234008284915645,8,0.016355656083650038
5.015,0.29673697729840715,0.05368947024642875,0.004740026591854596,0.0003721498155568552,0.000236101488393749,4,0.017132982526936538
5.268,0.2792548020773017,0.05107597560143173,0.004684683518291119,0.0003732560318249381,0.00021941407077082556,4,0.015836964749554497
5.511,0.2656098097231997,0.04866680765804454,0.004684357079071731,0.0003716543138978807,0.00020192500599770032,8,0.009899342434270696
5.76,0.2559061709019058,0.04607921601469726,0.00480501096253557,0.0003675658223602284,0.0001823491394183047,4,0.019514504373615623
