r,mean_absB
0.025,NaN
0.075,0.48844688792597724
0.125,0.4884416369561387
0.175,0.4885396704967073
0.225,0.4886965813459629
0.275,0.48923053375638204
0.325,0.4890422785083485
0.375,0.48981336581664686
0.425,0.49247502927774317
0.475,0.49368152900733525
0.525,0.4993915370413935
0.575,0.5042970806271888
0.625,0.5244659466588729
0.675,0.6129134659265543
0.725,0.7598279795162911
0.775,0.8882439284138207
0.825,0.9688359424891114
0.875,0.9820423859684078
0.925,0.9688877910300691
0.975,0.9263526451997635
1.025,0.8513301895550865
1.075,0.7783348504533406
1.125,0.6859494540295414
1.175,0.6198915024810105
1.225,0.490318453317089
1.275,0.3472617729425884
1.325,0.24602963708548098
1.375,0.18660638875550803
1.425,0.15407624167545722
1.475,0.13165156496852184
1.525,0.11575278617027375
1.575,0.1031603936990601
1.625,0.09282965507865226
1.675,0.08386468579997554
1.725,0.0761449505682243
1.775,0.06945616358400124
1.825,0.06357768401497438
1.875,0.058354648713835444
1.925,0.05361246955327574
1.975,0.04936429000681078
