k,segments,mz,Tnorm,helicity,far_slope
0,512,3.1415138011442756,1.667900584100338e-16,0.0,-3.2824276974863484
1,512,3.2377997540926047,1.5606755683131914,1.3608357046007655,-3.3711965862716684
2,3072,3.25911191366975,1.8082836758713021,2.2265614634045265,-3.4707812921886587
