t,E_core,E_kin,E_field,absorbed_cum,gauss_res
0.008,0.0006878396071598747,0.0006856428258089524,2.1995306070384236e-6,6.023390943091304e-10,0.0002044
0.05,0.0006778954975034745,0.0006757557711594645,2.141692670524957e-6,1.3851566838911183e-9,0.0007705
0.092,0.000668542158006207,0.0006663705082770487,2.1733560849176774e-6,1.6472476934461897e-9,0.001025
0.133,0.000659707235076749,0.0006573772816666947,2.3314873041755054e-6,1.8464665494913582e-9,0.001175
0.175,0.0006513352796061108,0.0006488263693804472,2.5103613403987303e-6,2.0264904534278148e-9,0.001278
0.217,0.0006433801393805933,0.0006406944819873635,2.6870965820519025e-6,2.1961277295267373e-9,0.001354
0.258,0.0006358067591159042,0.0006328936692335665,2.9145366638836124e-6,2.3587350094852413e-9,0.001412
0.3,0.0006285885076714781,0.0006253561334250626,3.2338303369054966e-6,2.5159025128548197e-9,0.001456
0.342,0.000621702316570472,0.0006180660114089542,3.6377731810034772e-6,2.6684402663920116e-9,0.001489
0.383,0.0006151272986817286,0.0006110232069355015,4.105574022428265e-6,2.816817606877631e-9,0.001514
0.425,0.0006088451921089065,0.0006042096478203117,4.637041072300426e-6,2.961415325926554e-9,0.001533
0.467,0.0006028398700697012,0.0005975964507365661,5.244927874438432e-6,3.1026235952793606e-9,0.001545
0.508,0.0005970966146160594,0.0005911630674813516,5.935061333478166e-6,3.2406410985907494e-9,0.001553
0.55,0.0005916020449967816,0.0005848943298269017,6.7092290112676586e-6,3.374914050506813e-9,0.001557
0.592,0.0005863437868550814,0.0005787728444100491,7.5724554414284474e-6,3.5038780995945946e-9,0.001557
0.633,0.0005813101914819718,0.0005727829701443072,8.528740067932987e-6,3.6256066266533173e-9,0.001555
0.675,0.00057649038539646,0.0005669098332287577,9.58210190875095e-6,3.7395793109661995e-9,0.00155
0.717,0.0005718742307906657,0.0005611394651035828,1.0736383074384376e-5,3.8482478674553435e-9,0.001544
0.758,0.0005674521671422518,0.0005554634367359133,1.1990439286798313e-5,3.956506687074193e-9,0.001536
0.8,0.0005632150778865821,0.0005498774620409506,1.333938841134754e-5,4.072812347324339e-9,0.001526
0.842,0.0005591542837394531,0.000544376399044182,1.477971790299808e-5,4.207075000030506e-9,0.001516
0.883,0.0005552615576560858,0.0005389523473731487,1.6311121205848615e-5,4.357323293772338e-9,0.001504
0.925,0.0005515290992217761,0.0005335983972392818,1.793272525258857e-5,4.510196839635032e-9,0.001492
0.967,0.0005479495133318739,0.0005283107594095445,1.9640862366217242e-5,4.666649571761669e-9,0.001479
1.008,0.0005445155445540041,0.0005230861494728003,2.143161864566536e-5,4.842614296059692e-9,0.001466
1.05,0.0005412203290324598,0.0005179202461407563,2.330246603871269e-5,5.042831985357812e-9,0.001452
1.092,0.0005380574334485111,0.000512809013922518,2.525092739085966e-5,5.252457706252968e-9,0.001439
1.133,0.0005350206455447139,0.0005077500475252029,2.727318637991626e-5,5.4816968262437624e-9,0.001425
1.175,0.0005321039773942867,0.0005027418799340309,2.9364752126092786e-5,5.7508957896212536e-9,0.00141
1.217,0.0005293018618202101,0.000497783345140955,3.1521198259823095e-5,6.038620362802603e-9,0.001396
1.258,0.0005266089356898008,0.0004928742252006743,3.373738903635576e-5,6.3225368880379346e-9,0.001382
1.3,0.0005240199912723027,0.00048801492553551427,3.600775487023266e-5,6.613065262737443e-9,0.001368
1.342,0.0005215301415504189,0.0004832050118690451,3.8327849422904296e-5,6.905052064423935e-9,0.001354
1.383,0.0005191347624535375,0.0004784434191697458,4.06940892451852e-5,7.185291975054675e-9,0.001341
1.425,0.0005168294058532044,0.0004737299540878521,4.310222454010917e-5,7.466273323608276e-9,0.001327
1.467,0.0005146098729822176,0.00046906566097827315,4.55470010183197e-5,7.761634119448768e-9,0.001314
1.508,0.0005124721839662639,0.0004644519015997624,4.802308087650309e-5,8.061180882220165e-9,0.0013
1.55,0.0005104125354490192,0.0004598900140638866,5.052534055635626e-5,8.355648867988297e-9,0.001288
1.592,0.0005084273254635686,0.00045538160080245454,5.304856554806511e-5,8.646180820152595e-9,0.001275
1.633,0.0005065131156498724,0.00045092833571858457,5.558764566428588e-5,8.93677062499743e-9,0.001263
1.675,0.0005046666125631098,0.0004465314561802235,5.813807541578742e-5,9.231891020757652e-9,0.001251
1.717,0.0005028847666397651,0.00044219177335863774,6.0695959281144266e-5,9.535574439108286e-9,0.001239
1.758,0.0005011646542465682,0.0004379102236968621,6.325742496587402e-5,9.849581780818182e-9,0.001228
1.8,0.0004995034755660966,0.0004336882683499588,6.581823568170593e-5,1.0177656554681965e-8,0.001216
1.842,0.0004978986344353535,0.0004295275544226069,6.837413063562013e-5,1.05141830794999e-8,0.001206
1.883,0.0004963476554167963,0.0004254294457632675,7.09212621200595e-5,1.084828510186017e-8,0.001195
1.925,0.0004948481336281001,0.00042139512695262764,7.345606340242137e-5,1.1183526333450958e-8,0.001185
1.967,0.0004933977753180907,0.00041742577470539925,7.59751048694394e-5,1.152041827242691e-8,0.001175
2.008,0.0004919944539325137,0.0004135223287059999,7.847530415771462e-5,1.1850840232835697e-8,0.001166
2.05,0.0004906361441571599,0.0004096855869328998,8.095381316512663e-5,1.2181762831663203e-8,0.001157
2.092,0.0004893209077759973,0.00040591658732055285,8.340762510373534e-5,1.253380810009064e-8,0.001148
2.133,0.0004880468798978671,0.00040221659030193933,8.583361687973618e-5,1.2910968452637035e-8,0.00114
2.175,0.0004868123126496292,0.0003985869274930587,8.822869984259231e-5,1.3298570714465671e-8,0.001131
2.217,0.0004856155380787395,0.0003950290032376549,9.058979891829791e-5,1.3688442460348236e-8,0.001123
2.258,0.0004844549165667013,0.00039154401629143247,9.291409675395863e-5,1.4076744741681183e-8,0.001116
2.3,0.0004833289013208358,0.00038813284365446537,9.519917783257081e-5,1.4451277702567131e-8,0.001109
2.342,0.00048223598322849853,0.0003847962390587565,9.744281704799471e-5,1.4803156811697099e-8,0.001102
2.383,0.00048117474360267104,0.00038153490777649676,9.964289789000106e-5,1.5131924828624713e-8,0.001095
2.425,0.00048014383585272106,0.0003783494032521926,0.0001017975080499521,1.5444755731194887e-8,0.001089
2.467,0.000479141990034344,0.00037524013581291375,0.00010390492848537782,1.575405140287915e-8,0.001082
2.508,0.000478167953721853,0.0003722074053318043,0.00010596359969031392,1.606841251553646e-8,0.001077
2.55,0.00047722049966142106,0.0003692513345212714,0.00010797219191661047,1.6387527833219017e-8,0.001071
2.592,0.0004762984866738482,0.0003663719192542792,0.00010992956246785387,1.6701283890129176e-8,0.001066
2.633,0.00047540082229975586,0.00036356909351224125,0.00011183467047704662,1.7003203422984688e-8,0.001061
2.675,0.00047452642314666226,0.0003608427168785368,0.00011368658304236463,1.72975708711371e-8,0.001056
2.717,0.0004736742488933753,0.0003581925903767789,0.000115484469715727,1.7585626998540598e-8,0.001051
2.758,0.00047284330568332715,0.00035561846732191715,0.00011722758913802562,1.78575643750809e-8,0.001047
2.8,0.00047203261221535404,0.00035311999774702464,0.00011891531456362593,1.811288363636631e-8,0.001042
2.842,0.0004712412189287139,0.00035069671385501325,0.00012054715643574466,1.8355421788508645e-8,0.001038
2.883,0.00047046822207977735,0.00034834808598958704,0.00012212273931481315,1.8583835624998407e-8,0.001035
2.925,0.00046971272624308336,0.0003460734939035984,0.0001236418034265006,1.8800661586852826e-8,0.001031
