t,E_core,E_kin,E_field,absorbed_cum,gauss_res
0.008,8.54610544324983e-5,8.505847161741996e-5,4.047037292463945e-7,4.653662437668757e-10,5.492e-5
0.05,8.544425650989223e-5,8.504480769457585e-5,4.0096503534827206e-7,1.06993365823555e-9,0.0002297
0.092,8.543008200261912e-5,8.502439376323106e-5,4.0700370289651424e-7,1.2722215523364641e-9,0.0003233
0.133,8.541967684593171e-5,8.499758757835095e-5,4.2327146902809385e-7,1.4259248705354189e-9,0.0003809
0.175,8.541348843102497e-5,8.497519491643607e-5,4.394115274257202e-7,1.5647715662886399e-9,0.0004193
0.217,8.541166824720689e-5,8.495812854085401e-5,4.546480030557159e-7,1.6955590758911783e-9,0.0004461
0.258,8.541422377875546e-5,8.49429909509039e-5,4.7234621368020387e-7,1.8208673217732012e-9,0.0004654
0.3,8.542104954212438e-5,8.492829775651127e-5,4.93871152460673e-7,1.941899801081128e-9,0.0004797
0.342,8.543198434044026e-5,8.491375961240822e-5,5.193512619651187e-7,2.059234112809597e-9,0.0004903
0.383,8.544684584867873e-5,8.489935238959788e-5,5.486278523728831e-7,2.1731373752914205e-9,0.0004984
0.425,8.546544255017306e-5,8.488510397381512e-5,5.814808031880512e-7,2.283719785992139e-9,0.0005045
0.467,8.548758070045287e-5,8.487105376166814e-5,6.176768168769348e-7,2.3909998564605127e-9,0.0005091
0.508,8.55130696322273e-5,8.48572428586278e-5,6.569834703992301e-7,2.494939230759722e-9,0.0005125
0.55,8.554172375553398e-5,8.484371135252367e-5,6.991747340641625e-7,2.595450490227954e-9,0.000515
0.592,8.557336459454187e-5,8.483049769915753e-5,7.440327167313552e-7,2.6923943285340363e-9,0.0005168
0.633,8.56078207944955e-5,8.48176384828234e-5,7.913485866838348e-7,2.7855526648252175e-9,0.0005181
0.675,8.564492839260782e-5,8.480516844700713e-5,8.409229050555051e-7,2.8745821364529786e-9,0.0005189
0.717,8.568452852895387e-5,8.479312033292024e-5,8.925659565932842e-7,2.958957965988416e-9,0.0005193
0.758,8.572646401470562e-5,8.478152443793595e-5,9.460980202466007e-7,3.038030643710822e-9,0.0005194
0.8,8.577057894426467e-5,8.477040643116562e-5,1.0013509313765778e-6,3.1114400411472353e-9,0.0005192
0.842,8.58167367271474e-5,8.475978169058861e-5,1.0581724134779346e-6,3.1801964720134333e-9,0.0005189
0.883,8.586482257109779e-5,8.47496451517561e-5,1.1164343887954593e-6,3.24834975477094e-9,0.0005184
0.925,8.591471259352387e-5,8.473996335158564e-5,1.1760413485964928e-6,3.3225222061553736e-9,0.0005177
0.967,8.596627548545134e-5,8.473068407634843e-5,1.2369262683799904e-6,3.4056626277850766e-9,0.000517
1.008,8.601941751138845e-5,8.472177334487677e-5,1.2990163775481182e-6,3.493741639205042e-9,0.0005162
1.05,8.607404749407241e-5,8.471325618412685e-5,1.3621833989057607e-6,3.5845261004039667e-9,0.0005153
1.092,8.61300511911744e-5,8.470521592067108e-5,1.4262403021270919e-6,3.6812347600443656e-9,0.0005144
1.133,8.61873286118122e-5,8.469774471580227e-5,1.4910013964715962e-6,3.781597395310444e-9,0.0005135
1.175,8.62458017308335e-5,8.469090062244625e-5,1.5563241950086476e-6,3.878678964977135e-9,0.0005125
1.217,8.630537393884414e-5,8.468471152182509e-5,1.622093424654328e-6,3.97284954841425e-9,0.0005115
1.258,8.63659617565959e-5,8.467919797860402e-5,1.6882020436580352e-6,4.0678164344462705e-9,0.0005105
1.3,8.642749292227399e-5,8.467437778021975e-5,1.7545548963703113e-6,4.162035532755951e-9,0.0005095
1.342,8.648988476656059e-5,8.467026228369917e-5,1.8210659780251684e-6,4.254548390479378e-9,0.0005085
1.383,8.655306918122588e-5,8.466685821435548e-5,1.8876546250255747e-6,4.346842372419371e-9,0.0005075
1.425,8.661697662906618e-5,8.466416961477172e-5,1.9542484692127406e-6,4.437958426973009e-9,0.0005066
1.467,8.668153821166403e-5,8.466219713548285e-5,2.020781017913943e-6,4.527394273431753e-9,0.0005056
1.508,8.674669474144764e-5,8.466093879859993e-5,2.0871901301921283e-6,4.615681446112342e-9,0.0005047
1.55,8.681238265056263e-5,8.466039032101056e-5,2.153419951445189e-6,4.702055959671803e-9,0.0005038
1.592,8.687854657179656e-5,8.466054555141943e-5,2.2194183684036608e-6,4.786546697674285e-9,0.0005029
1.633,8.694512952459382e-5,8.466139755785673e-5,2.2851367141717367e-6,4.868947786116415e-9,0.0005021
1.675,8.701207716339716e-5,8.466294046122353e-5,2.350527953758471e-6,4.94853550616873e-9,0.0005013
1.717,8.707933763272402e-5,8.466517271552464e-5,2.4155422803243324e-6,5.0249229723035634e-9,0.0005005
1.758,8.71468503153322e-5,8.46681015037062e-5,2.4801230216146784e-6,5.0977291903486875e-9,0.0004998
1.8,8.721454827785867e-5,8.467174430283893e-5,2.544204325657706e-6,5.167419946574608e-9,0.000499
1.842,8.728237388599817e-5,8.467611776127457e-5,2.6077222172008464e-6,5.235395672080026e-9,0.0004983
1.883,8.735031085157065e-5,8.468120211544042e-5,2.6706470089605055e-6,5.306789309141139e-9,0.0004977
1.925,8.741834168151278e-5,8.468688822220688e-5,2.733033381815404e-6,5.393434692551581e-9,0.0004971
1.967,8.748641859550126e-5,8.46929594185766e-5,2.79504873950357e-6,5.503522357821243e-9,0.0004965
2.008,8.755449478699802e-5,8.469917733762248e-5,2.8569015400522634e-6,5.627392956746609e-9,0.0004959
2.05,8.762255146102151e-5,8.470545445553692e-5,2.918658420796753e-6,5.747711061583082e-9,0.0004954
2.092,8.769055010451673e-5,8.471194089363081e-5,2.980137595266495e-6,5.859289544194153e-9,0.0004949
2.133,8.775844444720816e-5,8.471887786865846e-5,3.041060978637909e-6,5.9634087680428595e-9,0.0004945
2.175,8.782615458244104e-5,8.472637010741077e-5,3.1012931400116225e-6,6.056266788656132e-9,0.0004941
2.217,8.789369274374516e-5,8.473439202096616e-5,3.160827793467444e-6,6.136377779257782e-9,0.0004937
2.258,8.796104609829729e-5,8.47429788932523e-5,3.2195890911461568e-6,6.212096863903151e-9,0.0004933
2.3,8.802814338829713e-5,8.475223779062742e-5,3.2774236681926983e-6,6.298488456752831e-9,0.000493
2.342,8.809495152777396e-5,8.476216111616751e-5,3.3343164746952923e-6,6.3880634258238055e-9,0.0004928
2.383,8.816148583479023e-5,8.477259866144043e-5,3.390404133113762e-6,6.465292156494387e-9,0.0004925
2.425,8.822767819396494e-5,8.478343233508541e-5,3.445765368259001e-6,6.5412366910449326e-9,0.0004923
2.467,8.829351130177562e-5,8.479465448971266e-5,3.5003739473244187e-6,6.622515565291941e-9,0.0004921
2.508,8.835896500935693e-5,8.480625972656366e-5,3.5542199650175947e-6,6.6982083545611815e-9,0.0004919
2.55,8.842401600519675e-5,8.481818219107526e-5,3.6073423777023915e-6,6.769742153687923e-9,0.0004918
2.592,8.848862427988061e-5,8.483037100422222e-5,3.659763889798771e-6,6.840878559949571e-9,0.0004917
2.633,8.855278343072203e-5,8.484281286306414e-5,3.711474928801774e-6,6.911015859596258e-9,0.0004917
2.675,8.861646610912437e-5,8.48554726117876e-5,3.7624912832892014e-6,6.976533401053615e-9,0.0004917
2.717,8.867964201833473e-5,8.486830726509754e-5,3.8128307067863434e-6,7.040286535363709e-9,0.0004917
2.758,8.874230306714759e-5,8.488129832875774e-5,3.862489399078346e-6,7.102993206289832e-9,0.0004917
2.8,8.880441684822403e-5,8.489442441265994e-5,3.91147104130788e-6,7.161393542680203e-9,0.0004917
2.842,8.886596529975844e-5,8.490765834662261e-5,3.9597800247085305e-6,7.217856145309565e-9,0.0004918
2.883,8.892693107972476e-5,8.492098400977781e-5,4.007412619921937e-6,7.27256663433634e-9,0.0004919
2.925,8.898728640413304e-5,8.493437658803526e-5,4.054375241808453e-6,7.325196212642614e-9,0.0004921
2.967,8.904702237274186e-5,8.494779178528725e-5,4.100693049547786e-6,7.376741336260669e-9,0.0004922
3.008,8.910611677930691e-5,8.496116918991822e-5,4.146409828453195e-6,7.426098849397508e-9,0.0004924
3.05,8.916455266847392e-5,8.497442402162078e-5,4.191592150807326e-6,7.474384440571993e-9,0.0004927
3.092,8.922231940822735e-5,8.498746346526014e-5,4.236316620294617e-6,7.521611591433433e-9,0.0004929
3.133,8.927939385643859e-5,8.500021749015454e-5,4.2806381646819506e-6,7.567081003621322e-9,0.0004932
3.175,8.933576639881266e-5,8.501265357910923e-5,4.324572619042726e-6,7.612086084671223e-9,0.0004934
3.217,8.939142221137541e-5,8.502477530423077e-5,4.3681021355864225e-6,7.656005072646083e-9,0.0004938
3.258,8.944634127679487e-5,8.503659702228544e-5,4.41119840650897e-6,7.698572237953696e-9,0.0004941
3.3,8.95005119513871e-5,8.50481139205838e-5,4.453851515652353e-6,7.740871667160172e-9,0.0004945
3.342,8.955392220325415e-5,8.505930315500755e-5,4.496071138777739e-6,7.782801932855845e-9,0.0004948
3.383,8.960655869722357e-5,8.507014028235988e-5,4.537869096202599e-6,7.824073710487925e-9,0.0004952
3.425,8.965840702824816e-5,8.508060967710343e-5,4.579248043081995e-6,7.86527424187086e-9,0.0004957
3.467,8.970945551021085e-5,8.509069867721867e-5,4.620208276142367e-6,7.906892576168473e-9,0.0004961
3.508,8.975969524569158e-5,8.510038788393045e-5,4.6607578983981934e-6,7.949144380680884e-9,0.0004966
3.55,8.98091140336973e-5,8.510965567275187e-5,4.700907785169854e-6,7.99224644121973e-9,0.000497
3.592,8.985770154763587e-5,8.511848534356653e-5,4.740664682383907e-6,8.035968784123014e-9,0.0004975
3.633,8.990544968621815e-5,8.512686112494895e-5,4.780034728305155e-6,8.080293107020296e-9,0.000498
3.675,8.995234858952455e-5,8.513476565239765e-5,4.819026213718682e-6,8.125362606342008e-9,0.0004986
3.717,8.999838781562953e-5,8.514218182428902e-5,4.857648496784922e-6,8.170800274787689e-9,0.0004991
3.758,9.004355556675012e-5,8.514909474701207e-5,4.895909106544803e-6,8.216601399090845e-9,0.0004997
3.8,9.008784010744511e-5,8.51554892825552e-5,4.933815368143447e-6,8.263572597733272e-9,0.0005003
3.842,9.01312321285044e-5,8.516134941338177e-5,4.9713751226065295e-6,8.313319438622764e-9,0.0005009
3.883,9.017373787190059e-5,8.516666209487515e-5,5.008591588405819e-6,8.369472361393342e-9,0.0005015
3.925,9.021536233093165e-5,8.51714169952654e-5,5.045464337154627e-6,8.43696409056572e-9,0.0005022
