t,E_core,E_kin,E_field,absorbed_cum,gauss_res
0.008,0.00034862129632372686,0.00034727615065841233,1.3474222410837524e-6,4.990244801508164e-10,0.0001351
0.05,0.00034821603042800575,0.00034688446578261543,1.333192588183947e-6,1.1474744097066104e-9,0.0005633
0.092,0.00034782762461628116,0.00034646842242334864,1.3606146443558446e-6,1.364491186599121e-9,0.0007919
0.133,0.0003474627209124054,0.000346028349589265,1.4356406429817594e-6,1.5293746869370708e-9,0.0009323
0.175,0.00034712383895798416,0.00034560722641521725,1.5178128260360002e-6,1.6782950779817675e-9,0.001025
0.217,0.00034681153714239126,0.000345207289437381,1.6054373753384367e-6,1.8185311614106394e-9,0.00109
0.258,0.0003465254281360157,0.00034481253610152174,1.714086867291428e-6,1.9528334458079467e-9,0.001136
0.3,0.0003462646194468169,0.0003444166638848768,1.8491563022359606e-6,2.0824702246335733e-9,0.00117
0.342,0.0003460279789871738,0.000344019585231646,2.009601360174175e-6,2.208029720655839e-9,0.001194
0.383,0.00034581426174281737,0.00034362161737255044,2.1938591353735966e-6,2.3297534216900963e-9,0.001211
0.425,0.0003456221782869277,0.0003432263444646246,2.3970552620425118e-6,2.4476938333246152e-9,0.001224
0.467,0.00034545043808174386,0.00034283764176234566,2.6140241140818775e-6,2.5617817504742524e-9,0.001232
0.508,0.00034529778032576917,0.00034245039498552167,2.848620214125344e-6,2.6718889132552633e-9,0.001237
0.55,0.00034516298945887284,0.0003420579076496371,3.1063272063465784e-6,2.7779167939585305e-9,0.001239
0.592,0.00034504489601942676,0.00034166398742395784,3.38216687286722e-6,2.8799723193815335e-9,0.00124
0.633,0.0003449423670615234,0.00034127213409317574,3.6715123660638134e-6,2.978713745189777e-9,0.001239
0.675,0.0003448543300340225,0.0003408767781508635,3.978864427563823e-6,3.0752716012680654e-9,0.001237
0.717,0.00034477977682276494,0.0003404746953456241,4.306434283204302e-6,3.171112412928145e-9,0.001233
0.758,0.00034471775256985076,0.0003400676599524077,4.651478730777345e-6,3.269461148535738e-9,0.001229
0.8,0.0003446673258402131,0.0003396559633445316,5.012785699461056e-6,3.373372500651312e-9,0.001224
0.842,0.00034462763445704156,0.0003392390483533864,5.390044628132956e-6,3.4816297076788235e-9,0.001219
0.883,0.0003445978600078292,0.00033881586932058347,5.783481438548215e-6,3.5906952754252674e-9,0.001214
0.925,0.0003445772146983533,0.00033838530252257667,6.193440706620346e-6,3.7015397817694538e-9,0.001208
0.967,0.0003445649603918429,0.00033794888079800666,6.617647341577567e-6,3.816910448550565e-9,0.001201
1.008,0.00034456040078544747,0.00033750843795266413,7.053564140692656e-6,3.9360750889793466e-9,0.001195
1.05,0.00034456286202125453,0.00033706271550173567,7.50178253048995e-6,4.0586788843639765e-9,0.001189
1.092,0.0003445717165685262,0.0003366092333269502,7.96415056098578e-6,4.186772713891177e-9,0.001182
1.133,0.0003445863748934201,0.00033614684824840435,8.441216460869068e-6,4.3189054195103535e-9,0.001176
1.175,0.0003446062671980861,0.0003356749230518571,8.9330551790287e-6,4.454048624394379e-9,0.001169
1.217,0.00034463086604183326,0.00033519229237418416,9.440298443546173e-6,4.591140573408821e-9,0.001163
1.258,0.0003446596656472173,0.00033469874425786847,9.962651774453945e-6,4.72920793922841e-9,0.001157
1.3,0.0003446921690405328,0.000334195238676645,1.0498671511507128e-5,4.869177600086402e-9,0.001151
1.342,0.00034472791385629356,0.0003336815844272313,1.1048090299052915e-5,5.007702925362945e-9,0.001144
1.383,0.000344766455453253,0.0003331562438850242,1.1612008978905384e-5,5.143380109944683e-9,0.001138
1.425,0.0003448073933500212,0.00033261831075324504,1.2190913497150684e-5,5.280903475223687e-9,0.001133
1.467,0.00034485032431609786,0.00033206766153977106,1.2784524782683044e-5,5.424747894715958e-9,0.001127
1.508,0.00034489487689290594,0.0003315038233625613,1.3392933384612171e-5,5.576689839039115e-9,0.001121
1.55,0.00034494068287786847,0.000330926215134633,1.4016359665114148e-5,5.734607036449221e-9,0.001116
