k,E0,Eend,tau,gauss_residual
0,8.546455778882772e-5,7.324053308567393e-5,248.59743906115835,0.0009024439446586816
1,0.00034870336735391087,0.00019233325960762377,127.02230429812444,0.0014756326396888897
2,0.0006899076405310553,5.563992852684549e-5,37.39526597435987,0.0018140509724029492
