t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp
0.254,1.9016865592193983,0.3050449016890157,5.732861040305248e-7,2.29155182464942e-5,4.220274168677903e-7,4,0.005388760680269638
0.5,1.249048256720475,0.2904341473261341,-9.840359647055207e-6,3.92244747199885e-5,-7.426037398103538e-6,4,0.00200129446438176
0.755,1.1570594250944821,0.2172105802042659,-4.9605369969698646e-5,5.419428216638523e-5,-2.5355730708050664e-5,5,0.004122728676664683
1.001,1.1950965222349317,0.19067878213379066,4.730116037241911e-5,8.190415965516209e-5,-4.6894289806175885e-5,4,0.012681345619438768
1.254,1.1891674564195094,0.20351267435244833,1.988934621514632e-5,9.942934027394674e-5,-6.685989418085949e-5,4,0.010931788210228572
1.505,1.1580837320346904,0.18748910452489156,1.1524941814933484e-5,0.0001012729800987514,-7.451650011629e-5,4,0.006492634642469442
1.75,1.1614412440017736,0.1689890045925282,6.357724017141458e-5,9.753876752715377e-5,-7.341694426365681e-5,4,0.030209680854794693
2.001,1.056142398311153,0.16834079453853534,0.00010790862603002748,9.506714576819247e-5,-7.180448224524876e-5,8,0.009724276251785105
2.256,0.935659981348666,0.16910790170778323,7.948085335087601e-5,9.671359241005754e-5,-7.034526490489005e-5,4,0.030786241916795215
2.506,0.8526668782952141,0.16615233552693773,6.358779951122972e-5,0.0001034534998429419,-6.780656842850813e-5,4,0.02666279797469411
2.753,0.8009328640359976,0.15934874230235904,5.736840169973283e-5,0.00011302517457958497,-6.485743186151857e-5,4,0.034113689077572215
3.002,0.7960711358488318,0.15013843429181767,6.51885307939877e-5,0.00012078819463742885,-6.174853582828297e-5,4,0.07320277143546991
3.254,0.796841297011943,0.14630204942447567,8.232221819205367e-6,0.00012214907552396612,-5.759511811757707e-5,4,0.10042122724379866
3.505,0.7559367901690126,0.14778043424370382,-2.6709528410434767e-5,0.0001162841858154979,-5.234866910691603e-5,4,0.08973345817428184
3.754,0.7031422643510836,0.1444452153985726,-1.888478057778739e-5,0.00011236421450540658,-4.7105664131761654e-5,4,0.06876709827641013
4.006,0.6586027744541972,0.14106327687633377,2.444404979311271e-5,0.00011692911442558655,-4.2948668481154975e-5,8,0.04408508117718313
4.251,0.6260605348316955,0.13911076279682297,5.766335008270497e-5,0.00012796961557895006,-4.0545168613333506e-5,4,0.07850277321832227
4.5,0.608386376786729,0.13345529783767823,9.740493046991087e-5,0.00014319254975296848,-3.94635180702296e-5,4,0.03404965995739698
4.752,0.600408310734356,0.12517662409640906,0.0001438884965095915,0.000160598021306069,-3.912675023363476e-5,4,0.012309105207722909
5.004,0.5881784333032832,0.1172541816885635,0.00016038247970522255,0.0001783455286487024,-3.909086033263781e-5,4,0.050640747920473204
5.253,0.5643553877053149,0.11080627868069852,0.0001618741847717996,0.00019417954762841093,-3.865544762450262e-5,4,0.08179967782242446
5.502,0.5310789269928173,0.10556464031886482,0.00017663559452064603,0.0002062358484811195,-3.725693688264743e-5,4,0.10283936518599042
5.752,0.5007426879937354,0.10099493779820255,0.0002102618843748786,0.00021488439475499053,-3.5085863809926915e-5,4,0.09982891623065947
6.002,0.48230641602570573,0.09683113113376282,0.0002501218581066676,0.0002217209582859121,-3.3121962322338756e-5,4,0.07183143051761003
6.256,0.47365498900840597,0.09266523109019274,0.00027682707128928784,0.00022760560449898846,-3.220434911911968e-5,4,0.03532023454551615
6.502,0.46708924668080587,0.08833344993364955,0.00030983671945911665,0.0002317940582180982,-3.2500380440132946e-5,4,0.007321945645948783
6.755,0.45783540835041586,0.08332732337930203,0.00035610030418485616,0.0002338565162395329,-3.344529381840097e-5,4,0.008374607404161552
7.005,0.44751308883951624,0.07811394049384857,0.0003981864699166172,0.00023444334291692647,-3.408015534616503e-5,8,0.0020328721496569364
7.254,0.43459249244057074,0.0731837407049032,0.0004343748903181218,0.00023591045668765997,-3.3619657015433904e-5,4,0.019057793888404725
7.503,0.4187116329607173,0.06854273910780269,0.00046042530617433007,0.00023868870741677235,-3.195476616204464e-5,4,0.03633454646118287
7.754,0.40050335310709284,0.0643275506510612,0.0004775780059880119,0.0002412622165555687,-2.962266860185937e-5,8,0.016947521222802055
8.002,0.37964939411820364,0.06074046812087533,0.0004970317467514248,0.0002421316486580966,-2.7446842587847185e-5,4,0.03128156736665375
8.253,0.3592429161920148,0.05757110194000676,0.0005292304807795386,0.00024110465277804756,-2.5886695491179414e-5,4,0.07806084960565647
8.501,0.34322437847321896,0.054609747483977365,0.0005705713282768144,0.0002393318901043812,-2.501693545568355e-5,4,0.10764727795029023
8.75,0.33144128286716573,0.05165530658226411,0.000613915385936608,0.00023822027106906878,-2.4473133861831875e-5,4,0.09773820938885626
9.003,0.32174859981453485,0.048656626125962846,0.0006559205164514103,0.00023928611525977073,-2.389410947082172e-5,4,0.027723477121176888
9.254,0.30998394838817395,0.0456922363335536,0.0007009156403063582,0.00024339455756932445,-2.3165187768110447e-5,4,0.0825802260180879
9.5,0.2957269293353356,0.04280661645394194,0.0007614613592506298,0.0002496692427343147,-2.2609667989273866e-5,4,0.1960097210081043
9.753,0.28272092587938025,0.039975431946077694,0.0008556344822938871,0.0002559950074358004,-2.2667293744009438e-5,4,0.30968711208503935
10.006,0.2736508217076878,0.03737266395200148,0.0010113366653102518,0.0002605856570985113,-2.3630649565759988e-5,4,0.42775042218030407
10.256,0.2663412945856758,0.03515736807259796,0.0012775946064734359,0.0002635764062143604,-2.5386251103356414e-5,4,0.5593990571942408
10.501,0.25838887565983526,0.03338464349160456,0.0017190922010359082,0.0002658687731192778,-2.754611750230203e-5,4,0.6518080104301508
10.75,0.24891204019415702,0.03192376155687393,0.0024391070476341083,0.000268234236856403,-2.977418938150222e-5,8,0.35240629649109156
11.007,0.23862115503780013,0.030639304307608563,0.0035749781637738763,0.0002709459692863588,-3.17807849903332e-5,4,0.538730155872162
11.254,0.2291932451937987,0.02944540091339898,0.005188382715836351,0.0002734329809383424,-3.3373760209009215e-5,4,0.7329266113368252
11.503,0.22000708570680022,0.02817484086806221,0.0075266911716124355,0.00027527341641239185,-3.4726453504310005e-5,4,0.6230946326185326
11.756,0.2093745373985884,0.026835852855524332,0.010748745755258124,0.0002755709925588365,-3.588811236242902e-5,4,0.5054100151818387
12.006,0.1966438169341214,0.025537339268065,0.014741242874243467,0.0002736925515457538,-3.684470488783747e-5,4,0.42687567518581715
12.254,0.18357495992603007,0.024358225240121188,0.019335083878050628,0.00026930730187035894,-3.758591514435239e-5,4,0.3891062592139392
12.5,0.17254869820242885,0.023354349485293732,0.02424940836291794,0.00026296228628969404,-3.815241303160605e-5,4,0.36854834306096496
