t,E_core,absorbed_cum
0.187,0.00014062626265589183,8.533082716028244e-12
0.375,0.00830293174201021,2.5379272183251984e-8
0.562,0.015146179631487643,3.221720215590981e-6
0.75,0.18717529987445428,6.31273497347099e-5
0.938,0.570133443770338,0.0003356193961658427
1.125,0.7622304780348556,0.002271965062148886
1.313,2.7420181719083594,0.01225767109638651
1.5,3.617556483458401,0.0326228590349081
1.688,5.338764657166111,0.09223441348307503
1.875,9.828300681670816,0.22699549579450673
2.063,9.953045835629855,0.4192036900999069
2.25,14.15546234836298,0.8053920235664551
2.437,17.12062415514344,1.3460964555112347
2.625,17.094456020216537,2.076557406480497
2.812,21.77817386371669,3.2163752550301217
3.0,21.891037931345664,4.397087684903865
3.187,23.015109707179985,6.198850003906973
3.375,26.271748495268046,8.215098453006554
3.562,24.771265168351576,10.266666073038358
3.75,27.10174743052798,13.312175067304585
3.937,28.146361459426792,15.913141026276282
4.125,26.479392127723305,19.036740264369396
4.312,29.368217065478333,22.7490833836225
4.5,28.02993420781189,25.86858321145363
4.687,27.642394060968453,29.89324554986575
4.875,29.856273555699765,33.832385170943944
5.062,27.232280724223912,37.49296697617103
5.25,28.752534143536582,41.985068941391525
5.437,29.200934979213653,45.838160192369166
5.625,27.006334527752443,49.899999862519465
5.812,29.63214154449024,54.370397774716274
6.0,28.096282013291454,58.081065440865004
6.187,27.63746737884745,62.4523785507765
6.375,29.84030199368625,66.63327369524855
6.562,27.2192390016257,70.4104550059577
6.75,28.756822397607866,74.93189381009357
6.937,29.246758859224318,78.78917705179472
7.125,27.058708030338664,82.84129793975329
7.312,29.696854947341055,87.27925005340784
7.5,28.18425079974363,90.97706945131792
7.687,27.714251217349695,95.34687403766806
7.875,29.91829224550484,99.51213018029924
8.062,27.295469959562237,103.2981875191625
8.25,28.82751805275664,107.83371252026106
8.437,29.312121519722375,111.69236286675843
8.625,27.12088269615713,115.76001688340423
8.812,29.760826787577017,120.21337375931341
9.0,28.24403476146798,123.91547039210032
9.187,27.770088662549913,128.29711318837207
9.375,29.974545453845547,132.47273061967593
9.563,27.346415791776433,136.26466488817724
9.75,28.87064485775047,140.80938445324261
9.938,29.35184685938946,144.67675794514372
10.125,27.147113397980313,148.75321857024136
10.313,29.443550860810152,153.2146601810974
10.5,27.588871174202836,156.92463435295593
10.688,26.25945160261838,161.31026157697028
10.875,25.4166035044488,165.47060779203758
11.063,22.47126122232815,169.2270014167137
11.25,20.17701968935574,173.65353130138774
11.438,16.882871047625194,177.2633788004954
11.625,14.644044690787556,180.98716898777042
11.813,11.49557923084596,184.77695205072663
12.0,9.131158658440427,187.595583207685
12.188,7.489607400296472,190.79329732831022
12.375,5.412880462337864,193.3089695025904
12.563,4.298549477534484,195.31337712753307
12.75,3.1506159091602433,197.3393378424119
12.938,2.2503904423188814,198.7223420642874
13.125,1.6049824768141634,199.94994867241823
13.313,1.054867925741717,200.96364105658074
13.5,0.6828000619356941,201.72738010432846
13.688,0.42445188039102877,202.35961072441324
13.875,0.25512626548745576,202.83072901654828
14.063,0.16093325582586043,203.1638579319511
14.25,0.10582652533053727,203.39716647657434
14.438,0.0774005379715811,203.53931297955864
14.625,0.05957412530350107,203.6273831712573
14.813,0.047811137965253284,203.67766365085959
15.0,0.04049042191294919,203.70741453840233
15.188,0.03131303405432371,203.72654389606316
15.375,0.02702651290979066,203.73865388337757
15.563,0.021946544888509147,203.74989681775074
15.75,0.01637070498473604,203.75661279559793
15.938,0.014274806206351768,203.76337840096878
