t,E_core,absorbed_cum
0.187,3.561040425249781e-5,2.273685903477719e-18
0.375,0.0020768534936658955,1.8627522654488197e-12
0.562,0.003827430849306592,6.9803943070018674e-9
0.75,0.04438384526353706,1.3375992217549714e-6
0.938,0.13412280634641388,3.242733938315255e-5
1.125,0.17253079126560517,0.00018341051825201837
1.313,0.5886001252886747,0.0010511204393247975
1.5,0.8007478233201621,0.005702723688848939
1.688,1.0935711067256486,0.014681950967584446
1.875,2.011563305394208,0.034466524110729604
2.063,2.055627790729297,0.08043048586403531
2.25,2.7462562497362626,0.14021170182858775
2.437,3.4316457158549727,0.24324463860324508
2.625,3.2735203904230237,0.3927488141866902
2.812,4.1779098894638045,0.5686794766374894
3.0,4.31577884130395,0.8506054400811977
3.187,4.197644698761075,1.1247366838618076
3.375,5.136456834060888,1.4970088545188776
3.562,4.701202737606249,1.9819843036925051
3.75,4.956837372529584,2.3755344289552753
3.937,5.528988756127845,2.974881009368947
4.125,4.857391541823923,3.5547017604666835
4.312,5.5021913252301005,4.09129501246103
4.5,5.432577887627671,4.830482545835936
4.687,4.987359519495589,5.449138467112667
4.875,5.7173478124715915,6.14108291331167
5.062,5.128736761473161,6.934798543068401
5.25,5.218383266650541,7.579426947262097
5.437,5.650740796517582,8.372767495346762
5.625,4.923462557852482,9.128256456873478
5.812,5.498423690507339,9.797513492176133
6.0,5.392146350629488,10.626306616833592
6.187,4.9572851021791955,11.312871800049656
6.375,5.675892039399679,12.035600932132533
6.562,5.096296621816462,12.841529709749063
6.75,5.2043621265389195,13.487496833593514
6.937,5.639486300773849,14.272025109134244
7.125,4.92400462215167,15.015650525123174
7.312,5.508955074726775,15.677150074257247
7.5,5.403949560823337,16.496103077713297
7.687,4.972425949484032,17.174094568212162
7.875,5.693271956087916,17.895352443149694
8.062,5.110701881769301,18.698539148247207
8.25,5.218431860555384,19.343108217417164
8.437,5.654360196862045,20.13085780053312
8.625,4.935443567903285,20.875984157784213
8.812,5.5211916722742185,21.538614082198507
9.0,5.416388222261393,22.361025889704493
9.187,4.982669631642846,23.04078328517615
9.375,5.7041607364002935,23.76334328519765
9.563,5.119962935196628,24.568713089660847
9.75,5.226405744877967,25.214961800717216
9.938,5.661597342152593,26.004340294598467
10.125,4.939412480918778,26.751032061660467
10.313,5.459042187890993,27.415450237806695
10.5,5.276164644209392,28.239424245785358
10.688,4.690513676585375,28.920294503642836
10.875,4.8100188127493215,29.643168744006243
11.063,4.123718380923933,30.44293065700439
11.25,3.5938189510435485,31.076737742165776
11.438,3.2448222387361803,31.83570505854785
11.625,2.524983607902186,32.509700945938604
11.813,2.1372397917099977,33.082496605936605
12.0,1.7195137648365117,33.75599042498489
12.188,1.2679972121533707,34.22382253833195
12.375,1.054394296033425,34.68960917235387
12.563,0.769434322165184,35.12824134012213
12.75,0.5746601073635011,35.411371558065476
12.938,0.42508354643871765,35.70084433004372
13.125,0.28992304948787045,35.922194129615264
13.313,0.19710418263468266,36.09311610025401
13.5,0.12468159745418764,36.24343743886141
13.688,0.07460304719741798,36.356587894262354
13.875,0.045337241824833265,36.44403366713504
14.063,0.027967795649694423,36.50854877128688
14.25,0.018637992029556388,36.549570466501
14.438,0.013523850265821534,36.575930775718014
14.625,0.010748050080613029,36.59110783735458
14.813,0.00869294307291511,36.59971520914157
15.0,0.007021916089404594,36.604760361108674
15.188,0.006166606927199701,36.60794212025258
15.375,0.004739240462399042,36.61024595619369
15.563,0.003893454700422769,36.61169495142571
15.75,0.0033324916811386354,36.61336919008399
15.938,0.002377978591772418,36.614477441453054
