t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp
0.253,0.5036903839144136,1.7226629254885135,0.00032110835412005,1.0462795804020784e-16,3.50684550948639e-17,8,0.0038928180302524765
0.505,0.31314453273701154,1.1730243514898884,0.0008029887752864523,9.842291502133202e-17,-6.240810997011663e-17,4,0.005518064238678351
0.759,0.28829235112980156,1.0216581340004554,0.0015855490183230864,1.2629236647595924e-16,-1.1864674720371113e-16,8,0.011208698967644702
1.013,0.2511735869445254,0.8869536904164065,0.003118158407154325,7.80135219356723e-17,7.511666401314698e-18,8,0.018432455964824387
1.256,0.23465699641382406,0.7677013562008039,0.007105872504631978,4.701739863248159e-17,-1.775772699717096e-17,4,0.036306408793716424
1.514,0.20826791445611825,0.6742100133135389,0.014573097294821296,1.9486410701089034e-16,1.5105109919363184e-16,4,0.04965918095791191
1.769,0.19042779101466512,0.6080105746840381,0.024171563104702906,4.003711001418757e-17,-2.3160032823997007e-17,4,0.046700353470901144
2.016,0.18350854106833195,0.5558970421434033,0.03470585321518218,1.0135927179074167e-16,-8.206669186005609e-17,4,0.04700530073229107
2.25,0.17096884219820635,0.511800583023414,0.04558201432267773,3.4961430287609245e-17,1.7149289189925266e-17,4,0.04986025409249831
2.511,0.16238279581079335,0.4684492110391241,0.05878264285587511,1.6993237247615914e-16,-1.1392952115976673e-16,4,0.05767082731818675
2.757,0.15974899944177104,0.4345186244691347,0.07169653993405062,6.623524665095529e-17,6.443652398864182e-17,4,0.052958734284151605
3.011,0.15748226707634108,0.4057658158231484,0.08472189615075405,1.7044845998489365e-16,1.5452046631095896e-16,4,0.029049440904139794
3.268,0.15229553389206765,0.38057364145569283,0.09708604888840021,8.81998802530798e-17,-6.354188079909667e-17,4,0.035290585556802714
3.504,0.1438164010067729,0.3596278655262024,0.10761247538648847,2.6570138817138784e-16,-2.6450095983167866e-16,4,0.0472110006510613
3.767,0.13232852029390102,0.33842926395060374,0.11837996478623576,1.2113539875298465e-16,-9.184963391072001e-17,4,0.05818516373868627
4.012,0.12238941242007172,0.3203532520599065,0.1274836783261785,1.9249261891195117e-16,1.8128103126753985e-16,4,0.08436680559685222
4.263,0.1137448934728427,0.3027532341960751,0.13603319360500443,1.7147035742630454e-17,8.895741000869679e-18,4,0.11678580670299603
4.516,0.10642491888725025,0.28593617423098866,0.14410225129054743,2.6508256412560784e-17,-2.2622607334308568e-17,4,0.15010622452108585
4.77,0.10044907257574182,0.2706781403265719,0.15208972041931557,1.1366608981655042e-16,1.1313060088679877e-16,4,0.17198693647132748
5.002,0.09560331340250444,0.2581767378071457,0.15981059282339552,4.7181714272743655e-17,8.08378735529127e-18,4,0.17150850851909233
5.263,0.08941930702313247,0.2449031067882321,0.16996710180472002,7.637815423779646e-17,6.295873807994582e-17,4,0.15727470508692387
5.505,0.0832858000037655,0.23309661322934647,0.18101392345059159,5.822767350748386e-17,-2.887898789147661e-17,4,0.14195631163777866
5.75,0.07773396422673824,0.2214858658727391,0.19344111818113782,7.430654348407959e-17,2.21672462095599e-17,4,0.12034743138977921
6.025,0.07268538186644109,0.20913466055134203,0.2077409003624097,2.777625257949992e-16,-2.562271543375519e-16,4,0.09486012560327232
6.273,0.06880652315282906,0.19868622009849018,0.22021683242982507,5.689464869566862e-17,-1.4139917479507828e-17,4,0.07788008363046842
6.523,0.06507970631053445,0.1889170974118329,0.23190109062590647,2.5636186125654624e-17,-1.1040188182770276e-18,4,0.06553448504320575
6.775,0.06145140403895171,0.1798017498461632,0.24264602657449294,2.1711097267491042e-16,-2.1248924519863743e-16,4,0.04913884827896133
7.026,0.058344018668118454,0.1712758938735892,0.25245914141977477,8.844321377398883e-17,-5.123779362040409e-17,4,0.030997937675640776
7.276,0.05610303581280258,0.1633026328846236,0.26137446599208525,6.168312265658966e-17,2.486710520760322e-17,4,0.02064076655848313
7.526,0.0545778552564082,0.15585530777507572,0.26941585992365163,3.5296286719664536e-16,-3.5084245679614985e-16,4,0.017682826766365747
7.774,0.05327089807209539,0.14892021606959505,0.2765506013146624,6.661179752088367e-17,-5.093205272252484e-17,4,0.013249808264336953
8.023,0.051754307540286246,0.1424782670254233,0.28273326742715976,2.0927796320974407e-16,-1.9950034740830845e-16,8,0.015552171104538735
8.273,0.04993514534011941,0.1364951738057807,0.28795060298978903,6.434061905676311e-17,-5.747566974325945e-17,8,0.017504840339888833
8.523,0.04787543950260936,0.13092130528314505,0.29223914179027877,7.556835962434714e-17,-4.755411532512799e-17,4,0.029347921005561092
8.775,0.045636498490600454,0.12570713100812672,0.2956686701383991,9.920015628849985e-17,-9.053328243991021e-17,4,0.0453882973535072
9.002,0.04365287253013978,0.12134217172419733,0.2980578958079708,1.6580279827527216e-17,-2.1483356097353116e-18,4,0.05969630754361554
9.259,0.04169617259502042,0.11671217395586156,0.30006264967364,8.693831392413069e-17,-8.474829009601189e-17,4,0.07408542604863602
9.518,0.040156320416424675,0.11236579520698892,0.30139668257852836,2.5291128475232644e-16,-2.5209789197771933e-16,4,0.08896760134796143
