t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.253,0.18742994083379194,0.02036329675037235,1.3010426069826053e-17,6.1358935613561585e-6,3.064371281577479e-6,4,0.004822203846372778,2.0469344394765923,3.11159899438468
0.502,0.3113850142877204,0.024391931981806482,6.461844948013606e-17,8.233568271586677e-6,4.452089770956426e-6,12,0.006500389362106023,2.9152192469173466,3.4675101041506102
0.755,0.2939611394658346,0.028081844732962505,8.116190011731028e-13,1.254331982035867e-5,4.161315322621366e-6,12,0.008665965332197075,4.65219830613184,5.900361232133632
1.003,0.23872664649204633,0.024999104477112108,6.224552903276101e-10,1.6875763356880128e-5,5.480559557458032e-6,8,0.0117697884422308,3.994932427163664,5.792452335570658
1.257,0.20571133078434706,0.019472881463693588,-1.7304677304812166e-9,1.9644495606415676e-5,8.273350278711681e-6,8,0.015890618056584517,3.0347582892452984,4.892364087107418
1.508,0.18874952239459333,0.014602631864413339,1.0154693247626904e-8,2.0474707967219006e-5,1.0180219942638738e-5,8,0.019469452511889005,2.2328696297862196,3.932494171190351
1.755,0.17893456070465347,0.011459538995043445,-2.701879646912521e-7,2.1199366710582393e-5,1.0824216478812747e-5,4,0.017010432800867288,1.607684577295024,3.049589528935432
2.002,0.17183908989147972,0.009636570701072949,-1.4608941388800727e-6,2.3636458193060762e-5,1.1626736473554662e-5,4,0.05959893329362876,1.1807997964471,2.342408951673865
2.257,0.16540660770835405,0.008439723213871148,-3.2744148089544883e-6,2.7415274640671896e-5,1.3229995702723524e-5,4,0.07432020194092347,0.9090837349677967,1.8694273082294344
2.503,0.15940231684237083,0.007563453012374608,-5.0489679314577596e-6,3.10844372681047e-5,1.5088165301718923e-5,4,0.05287011630697843,0.7426755154915426,1.5776938557581421
2.752,0.1534352609538478,0.006838951063859698,-7.752557034820806e-6,3.3996714915027397e-5,1.685390835311529e-5,4,0.02117844510085042,0.6273314243105435,1.3665096117572169
3.003,0.14767061555962713,0.006235092818394064,-1.3267005757981731e-5,3.617788960198189e-5,1.8411808027622348e-5,4,0.01870135618124451,0.5435645227481827,1.214387433426887
3.259,0.14222773300036584,0.005723182181271007,-1.890770075249409e-5,3.807519491423259e-5,1.977162286948485e-5,4,0.052414424851428755,0.4792819951667564,1.097383428132574
3.509,0.13736918771386472,0.00529883591150716,-2.3154787910772273e-5,3.9981298210605314e-5,2.0913033676368776e-5,4,0.07607674669211383,0.42954978415600764,1.0144266132845268
