t,E_kin,E_mag,mz,Tnorm,Tz,mode_max,mode_amp,Jsq,Jmax
0.294,0.10839300649164135,0.010594315366966624,1.6794204042307765e-7,0.0002451185790149225,-5.8450584231011e-5,4,0.0220174006760672,0.4328999261747838,0.6304217507317533
0.511,0.17377972704304534,0.008692231786673426,1.5067940099121747e-6,0.00025570155600663645,-7.311326897843386e-5,4,0.024376602665620913,0.33445044499026333,0.5694853697902282
0.751,0.17579155946654154,0.0072541947896456955,4.125540119607398e-6,0.0002385197075265399,-7.640704386331263e-5,4,0.026394879107214327,0.2816062528241054,0.6205222853369935
1.024,0.1437955444875742,0.00562716236285403,-6.9445389909208505e-6,0.0002284682634751811,-7.54669792436708e-5,4,0.0343670717681805,0.21218194156572265,0.5355511525832465
