t,E_core,E_kin,E_field,absorbed_cum,gauss_res
0.025,0.0018845590304316499,0.0018341370500445187,7.063927282751481e-5,1.4154255477364967e-7,6.847e-7
0.15,0.001848355343148999,0.0017983989084156208,6.994927750052017e-5,3.480223697412943e-7,3.341e-6
0.275,0.0018136654593273517,0.0017617862388460326,7.178783487345205e-5,4.2717682068367226e-7,7.62e-6
0.4,0.0017805080892646088,0.0017260332968213306,7.431956968484371e-5,4.881481596136326e-7,1.29e-5
0.525,0.0017485156415824304,0.001693017140677327,7.543289733101623e-5,5.475460783619728e-7,1.997e-5
0.65,0.0017177242965117725,0.0016620267405721353,7.574249341792206e-5,6.10929577541112e-7,2.949e-5
0.775,0.0016880932812311563,0.0016333876925447798,7.483239912577204e-5,6.765386765398361e-7,4.047e-5
0.9,0.0016593929117642127,0.0016061125318298196,7.356267709370802e-5,7.46191055679483e-7,5.227e-5
1.025,0.0016317145409647453,0.001578618846703843,7.348305944981328e-5,8.184574137480401e-7,6.501e-5
1.15,0.0016050516255312476,0.0015508548258827734,7.462400571220119e-5,8.869461337164005e-7,7.881e-5
1.275,0.0015792605353432904,0.0015234085493618821,7.633753237962213e-5,9.549404418697531e-7,9.306e-5
1.4,0.0015543170003901564,0.0014964694921293892,7.83782542330741e-5,1.0249959782388095e-6,0.0001074
1.525,0.0015301962666893216,0.0014701688391690398,8.057786389028657e-5,1.0947717848270068e-6,0.0001211
1.65,0.0015067902294456387,0.0014446562553887656,8.274009109331494e-5,1.163945807010802e-6,0.0001344
1.775,0.0014841239877799327,0.0014197914800004347,8.496456225193136e-5,1.2294074037676675e-6,0.0001477
1.9,0.0014621181041498794,0.0013954777263619526,8.731890692792276e-5,1.2880345337919235e-6,0.0001609
2.025,0.0014407579914601587,0.0013717402738397948,8.973931539627475e-5,1.344118241935539e-6,0.0001733
2.15,0.001420056333132761,0.0013485954788875563,9.217829426691636e-5,1.397214506346665e-6,0.0001854
2.275,0.0013999448514749764,0.001326168952838196,9.448281617267616e-5,1.4434935712983332e-6,0.0001967
2.4,0.0013803932766581486,0.0013045804773671684,9.649723675766832e-5,1.4866538175695436e-6,0.0002068
2.525,0.001361376604021878,0.0012839210923858402,9.810018072931773e-5,1.5303721248637746e-6,0.0002153
2.65,0.0013428606123275736,0.0012643569924462058,9.909778317482187e-5,1.5760235796599557e-6,0.000222
2.775,0.0013248219362935344,0.0012459853686080052,9.93674447662577e-5,1.6202309955034608e-6,0.0002275
2.9,0.0013071934203754746,0.0012287534193896545,9.893761234340242e-5,1.659444778835024e-6,0.0002318
3.025,0.001289994384794723,0.00121253893990814,9.790482654208592e-5,1.695020008036661e-6,0.0002345
3.15,0.0012731860815806241,0.0011972032315171724,9.638743737209428e-5,1.7269623777617293e-6,0.0002357
3.275,0.0012567479865908135,0.001182649758059132,9.44653995470346e-5,1.7540541916626671e-6,0.0002355
3.4,0.0012406963068113013,0.0011688321059415974,9.21680235311478e-5,1.7761720351084633e-6,0.0002338
3.525,0.0012249700574743759,0.0011556916127936807,8.953630636946886e-5,1.7947329082084316e-6,0.0002306
3.65,0.0012095568093456884,0.0011431435973203018,8.664054639250451e-5,1.8106265472731585e-6,0.000226
3.775,0.0011944725910811701,0.0011311028174495435,8.355356155214816e-5,1.825469970056676e-6,0.0002199
3.9,0.0011796930247652316,0.0011194872201721988,8.034768283246746e-5,1.8399905515735284e-6,0.0002124
4.025,0.0011652142751531875,0.0011082125680588104,7.710017321704172e-5,1.8533502242543386e-6,0.000204
4.15,0.0011510340378339363,0.0010971915485707728,7.389187822141658e-5,1.8653764219716007e-6,0.0001948
4.275,0.001137137510135549,0.00108633648760166,7.080513785718357e-5,1.8758661845182472e-6,0.0001849
4.4,0.001123532352645979,0.0010755647212445554,6.791793894371098e-5,1.8846886057804888e-6,0.0001746
4.525,0.0011102021215589266,0.001064803446156289,6.529853746600479e-5,1.8921298402730401e-6,0.0001637
4.65,0.0010971502785844306,0.0010539927067531331,6.30025483502934e-5,1.898655245913298e-6,0.0001524
4.775,0.0010843681182234337,0.0010430924856585947,6.106626591378404e-5,1.9043571910564803e-6,0.0001407
4.9,0.0010718535504181453,0.0010320900371948763,5.9498575310317965e-5,1.9094320911746183e-6,0.000129
5.025,0.001059600151728328,0.0010209994998254404,5.828109847831516e-5,1.9140747456593607e-6,0.0001173
5.15,0.0010476036403092247,0.0010098541775300106,5.7375794729082204e-5,1.9184071735227614e-6,0.0001061
5.275,0.0010358565946371144,0.0009986967421319324,5.673472561835952e-5,1.922544704563281e-6,9.556e-5
5.4,0.0010243541216444973,0.0009875737299127438,5.6305726204024877e-5,1.926477157679475e-6,8.602e-5
5.525,0.0010130871961663783,0.0009765343676789997,5.6033433016557334e-5,1.9302495541851357e-6,7.767e-5
5.65,0.0010020514342352358,0.0009656288933078325,5.5861165561275646e-5,1.9338847713108286e-6,7.063e-5
5.775,0.000991236591899881,0.0009549040147258017,5.573523397495942e-5,1.9373893965632696e-6,6.498e-5
5.9,0.0009806385763653312,0.0009443982021381553,5.560979420710112e-5,1.9408087354405716e-6,6.071e-5
6.025,0.0009702472408726157,0.0009341394224666724,5.544982767280134e-5,1.9441175545422693e-6,5.768e-5
