t,E_core,E_kin,E_field,absorbed_cum,gauss_res
0.012,0.0007807051374656538,0.0007750256986701528,5.700198028441773e-6,4.053764817442583e-9,0.0002043
0.075,0.0007786248158944712,0.0007730229371720808,5.617221120930472e-6,9.461640277328808e-9,0.0008532
0.137,0.0007766267935391364,0.0007708915822896536,5.748669758179713e-6,1.1341196103985173e-8,0.001196
0.2,0.0007747464420021666,0.0007686107363575956,6.1478924569349675e-6,1.2785495532904691e-8,0.001399
0.263,0.0007729975601660208,0.0007663921648173819,6.616981426312753e-6,1.4092509900712049e-8,0.001526
0.325,0.0007713830928715273,0.0007642810214025319,7.1136113307954065e-6,1.5316695286029106e-8,0.001605
0.388,0.0007699004480232294,0.0007622369597763149,7.675154323670644e-6,1.647456511464618e-8,0.001655
0.45,0.0007685439435122397,0.0007602190175170146,8.336767561164253e-6,1.757134927328992e-8,0.001686
0.513,0.000767306436054193,0.0007581840029814865,9.13457816386921e-6,1.86106251439725e-8,0.001703
0.575,0.0007661802741948771,0.0007561368943200007,1.0055928260873228e-5,1.9602683463430792e-8,0.001711
0.637,0.0007651574904742626,0.0007541232917968834,1.1047259456449145e-5,2.057408613913039e-8,0.001713
0.7,0.0007642304353688501,0.0007521106152262295,1.213341279120961e-5,2.156425843336671e-8,0.001712
0.762,0.0007633917929551956,0.0007500248663540038,1.3381187011379734e-5,2.2588744406307857e-8,0.001707
0.825,0.000762634826394448,0.0007478829961736872,1.4766801012684757e-5,2.3648812238231072e-8,0.001701
0.887,0.0007619531393140565,0.0007457337589362888,1.6234957473703215e-5,2.4758380038626795e-8,0.001694
0.95,0.0007613406539530065,0.0007435633267534329,1.779334586621421e-5,2.5958300890697922e-8,0.001686
1.012,0.0007607916776555125,0.0007413407686517039,1.9467237471315173e-5,2.7246222856061735e-8,0.001678
1.075,0.0007603009658943751,0.0007390684277930677,2.124908421029255e-5,2.855785634817128e-8,0.001671
1.137,0.000759863485967638,0.0007367609449746941,2.3119329034192003e-5,2.9861876825619696e-8,0.001663
1.2,0.0007594745645669026,0.0007344174563927796,2.507417075146076e-5,3.115419610473611e-8,0.001655
1.262,0.0007591297126731799,0.0007320194501469789,2.7127771387038765e-5,3.2438954668388413e-8,0.001648
1.325,0.0007588251245837669,0.0007295520548594034,2.9290951990524286e-5,3.373999380882033e-8,0.001641
1.387,0.0007585570601935274,0.0007270172217802497,3.155792357646443e-5,3.509413380625589e-8,0.001635
1.45,0.0007583216898767127,0.0007244206588441148,3.391936852227926e-5,3.650978850591381e-8,0.001629
1.512,0.0007581153919167084,0.00072176067573639,3.637362717008693e-5,3.795261342404285e-8,0.001623
1.575,0.0007579353303505588,0.0007190302217330415,3.892458244665823e-5,3.9412612144988634e-8,0.001618
1.637,0.0007577785471360248,0.0007162243855020835,4.157407944402524e-5,4.095075199505843e-8,0.001613
1.7,0.0007576419538255699,0.0007133455594186663,4.431673180116802e-5,4.268395506740915e-8,0.001609
1.762,0.00075752311438806,0.0007103964993144873,4.714707493721416e-5,4.457129450813339e-8,0.001605
1.825,0.0007574194699492444,0.000707372383901695,5.006746057574088e-5,4.647618918301502e-8,0.001601
1.887,0.0007573279998140173,0.0007042665506812073,5.3082107380434986e-5,4.837424334220705e-8,0.001597
1.95,0.000757246620085435,0.0007010770683865931,5.619067473036297e-5,5.0206674027806864e-8,0.001594
2.012,0.0007571732322788243,0.0006978031760393337,5.9391739384513746e-5,5.195506962526766e-8,0.001591
2.075,0.0007571058417118766,0.0006944430756889707,6.268476544630657e-5,5.3861111139742636e-8,0.001588
2.137,0.0007570426953862476,0.0006909967563166148,6.606774773699242e-5,5.5962024782115756e-8,0.001586
2.2,0.0007569816985184098,0.0006874658740250068,6.953732235652808e-5,5.807146934358929e-8,0.001583
2.262,0.000756921072227518,0.0006838532210163984,7.308899778090587e-5,6.009221718320798e-8,0.001581
2.325,0.0007568591167775599,0.0006801646139097041,7.671530548896315e-5,6.1968238669056e-8,0.001579
2.388,0.0007567939990793287,0.0006764075537757001,8.040711015385841e-5,6.369917250789814e-8,0.001577
2.45,0.0007567242901978566,0.0006725875435650882,8.415732247902272e-5,6.53150475900223e-8,0.001575
2.513,0.0007566486771676462,0.0006687081499321138,8.796086576417697e-5,6.685786512577285e-8,0.001574
2.575,0.0007565655164075879,0.0006647731901358042,9.181247350146207e-5,6.839197774122706e-8,0.001572
2.638,0.000756473619377996,0.0006607866985116136,9.570684436064185e-5,6.987403165558205e-8,0.001571
2.7,0.0007563717319857943,0.0006567526260078499,9.963885482013367e-5,7.12561222084312e-8,0.00157
2.763,0.0007562586822392543,0.0006526758099375429,0.00010360251510046363,7.25603217998356e-8,0.001569
2.825,0.0007561334473585301,0.0006485618268977881,0.00010759118164507635,7.38036791819212e-8,0.001568
2.888,0.0007559950724415472,0.0006444164060494115,0.00011159815810888435,7.50027183702825e-8,0.001567
2.95,0.0007558426808451086,0.0006402458619115029,0.00011561625296850938,7.617662941454897e-8,0.001566
3.013,0.0007556755733067209,0.0006360572493682885,0.0001196376267252927,7.731866363420001e-8,0.001565
3.075,0.0007554929996019561,0.0006318578449399627,0.00012365426821514782,7.843620808427245e-8,0.001565
3.138,0.0007552942247596506,0.0006276548054135596,0.00012765834163513894,7.953117538795051e-8,0.001564
3.2,0.0007550786303721768,0.0006234554264695228,0.00013164196802164675,8.057292543375343e-8,0.001564
3.263,0.0007548457305572652,0.0006192672886096666,0.0001355970520535198,8.154144183808504e-8,0.001563
3.325,0.0007545950963887314,0.0006150979253467623,0.00013951558493896694,8.245352608720736e-8,0.001563
3.388,0.0007543262554860653,0.0006109548981126512,0.0001433895758022339,8.332662129379267e-8,0.001562
3.45,0.0007540388876588075,0.000606846018234778,0.00014721086913054208,8.41574766222016e-8,0.001562
3.513,0.0007537326677141301,0.0006027791486943193,0.00015097136178230628,8.49245667663807e-8,0.001562
3.575,0.0007534074103821211,0.0005987620451207711,0.00015466310479763612,8.563809927101464e-8,0.001562
3.638,0.0007530629264709786,0.0005948023027442541,0.00015827835553472038,8.631286249138563e-8,0.001561
3.7,0.0007526990756431263,0.0005909072907856034,0.00016180965568232138,8.695552789761885e-8,0.001561
3.763,0.000752315849510376,0.0005870841666369468,0.00016524977539798453,8.759549085238514e-8,0.001561
3.825,0.0007519133535469343,0.0005833399155556274,0.00016859170069632396,8.827413471573189e-8,0.001561
3.888,0.000751491739294595,0.0005796813473635147,0.00017182868327668253,8.902272726237164e-8,0.001561
3.95,0.0007510511425673456,0.0005761151404205103,0.00017495425060846774,8.981753593795881e-8,0.001561
4.013,0.0007505917969635666,0.0005726477669495023,0.00017796225141657513,9.056923075907968e-8,0.001561
4.075,0.0007501139564523245,0.0005692854611107656,0.00018084677426557426,9.121421671307696e-8,0.001561
4.138,0.0007496178824495361,0.0005660342893381814,0.00018360203026197066,9.176635448482771e-8,0.001562
4.2,0.0007491039373655014,0.0005629001568580674,0.00018622244355598783,9.226379505806234e-8,0.001562
4.263,0.0007485725315264002,0.0005598886487024616,0.00018870282360869693,9.272732912171796e-8,0.001562
4.325,0.0007480240698527592,0.0005570048459248841,0.00019103848919107836,9.316591499319228e-8,0.001563
4.388,0.0007474589842190799,0.000554253350681358,0.00019322529341180692,9.35802044184289e-8,0.001563
4.45,0.0007468777340550243,0.0005516382898407918,0.0001952595898982763,9.397396677426257e-8,0.001563
4.513,0.0007462808360727839,0.0005491632868932137,0.0001971382553838959,9.435523936016349e-8,0.001564
4.575,0.0007456688267806227,0.0005468314541824778,0.0001988587341246151,9.472805423380906e-8,0.001564
4.638,0.0007450423031789052,0.0005446454277547349,0.0002004189823272242,9.509583102627907e-8,0.001565
4.7,0.0007444018874374524,0.0005426074429970999,0.00020181739045711873,9.546061845317361e-8,0.001566
4.763,0.000743748233899843,0.0005407194027592821,0.00020305270229606625,9.582459297459583e-8,0.001567
4.825,0.0007430819979486092,0.0005389828809035647,0.0002041239957613431,9.618881558733292e-8,0.001568
4.888,0.0007424038903434415,0.0005373991345770996,0.0002050307360444658,9.655105721790784e-8,0.001568
4.95,0.0007417146408704352,0.0005359690139309604,0.00020577279852986165,9.691325194864233e-8,0.00157
5.013,0.0007410149315189679,0.0005346928952332774,0.00020635050746207667,9.72751613550719e-8,0.001571
5.075,0.0007403054270572741,0.0005335706583399873,0.00020676465603893668,9.763629831530813e-8,0.001572
5.138,0.0007395868056669278,0.0005326016968899304,0.0002070165417192251,9.799884456186739e-8,0.001573
5.2,0.0007388598094184636,0.0005317849578098549,0.0002071079667909445,9.836338164595563e-8,0.001575
